yop_kodu,year,lise_id,yerlesen_sayisi,school_type
206510049,2025,7593,1,4
206510049,2025,10123,1,5
206510049,2025,4074,1,5
206510049,2025,10126,1,5
206510049,2025,11053,1,5
206510049,2025,9992,1,5
206510049,2025,6470,1,4
206510049,2025,2111,1,4
206510049,2025,2202,1,4
206510049,2025,10,2,8
206510049,2025,3300,1,4
206510049,2025,5306,1,4
206510049,2025,10587,1,4
206510049,2025,732,1,4
206510049,2025,2166,1,4
206510049,2025,3599,1,0
206510049,2025,5944,1,4
206510067,2025,550,1,5
206510067,2025,1034,1,1
206510067,2025,777,1,5
206510067,2025,8204,1,4
206510067,2025,2201,1,4
206510067,2025,10,1,8
206510067,2025,2617,1,4
206510067,2025,2376,1,4
206510067,2025,1545,1,4
206510067,2025,764,1,7
206510067,2025,8559,1,7
206510094,2025,571,1,5
206510094,2025,10182,1,5
206510094,2025,3232,1,1
206510094,2025,944,1,5
206510094,2025,581,1,5
206510094,2025,710,1,7
206510094,2025,711,1,5
206510094,2025,5009,1,5
206510094,2025,9153,1,5
206510094,2025,10288,1,4
206510094,2025,8204,1,4
206510094,2025,323,1,4
206510094,2025,5175,1,4
206510094,2025,10,2,8
206510094,2025,567,1,4
206510094,2025,1590,1,4
206510094,2025,626,1,4
206510094,2025,411,1,4
206510094,2025,637,1,4
206510094,2025,6020,1,4
206510119,2025,781,1,4
206510119,2025,631,1,0
206510119,2025,5743,1,4
206510119,2025,5665,1,4
206510119,2025,4996,2,4
206510119,2025,5873,1,4
206510119,2025,5951,1,4
206510119,2025,11476,1,4
206510119,2025,7593,1,4
206510119,2025,5979,1,4
206510119,2025,7412,1,4
206510119,2025,5993,1,4
206510119,2025,851,1,8
206510119,2025,5028,1,4
206510119,2025,6020,1,4
206510119,2025,3449,2,4
206510119,2025,6055,2,4
206510119,2025,674,1,5
206510119,2025,6156,1,5
206510119,2025,10124,1,5
206510119,2025,10062,1,5
206510119,2025,301,1,8
206510119,2025,606,1,5
206510119,2025,12912,1,5
206510119,2025,10058,1,5
206510119,2025,505,1,5
206510119,2025,12913,1,1
206510119,2025,2781,1,5
206510119,2025,6291,1,5
206510119,2025,3394,1,5
206510119,2025,7253,1,5
206510119,2025,9507,1,5
206510119,2025,10,1,8
206510119,2025,12914,1,1
206510119,2025,6360,1,1
206510119,2025,6409,1,4
206510119,2025,2611,1,5
206510119,2025,10714,1,4
206510119,2025,510,1,4
206510119,2025,6490,1,4
206510119,2025,10456,1,4
206510119,2025,5468,2,4
206510119,2025,3297,1,4
206510119,2025,5112,1,4
206510119,2025,9937,1,4
206510119,2025,323,1,4
