yop_kodu,year,lise_id,yerlesen_sayisi,school_type
300510048,2025,2046,1,4
300510048,2025,2320,1,4
300510048,2025,1580,1,4
300510048,2025,10,1,8
300510048,2025,2411,1,4
300510048,2025,4260,1,4
300510048,2025,815,1,4
300510048,2025,6249,1,7
300510075,2025,847,1,4
300510075,2025,10,2,8
300510075,2025,2105,1,4
300510075,2025,2312,1,4
300510075,2025,4309,1,4
300510075,2025,2862,1,5
300510075,2025,779,1,4
300510093,2025,9844,1,5
300510093,2025,4713,1,1
300510093,2025,2356,1,5
300510093,2025,1064,1,4
300510093,2025,1668,1,4
300510093,2025,1122,1,4
300510093,2025,1100,1,4
300510093,2025,4890,1,4
300510093,2025,10,1,8
300510093,2025,1211,1,4
300510093,2025,1039,1,4
300510093,2025,1195,1,4
300510093,2025,4015,1,4
300510093,2025,4555,1,4
300510093,2025,1824,1,4
300510093,2025,7120,1,5
300510136,2025,4960,1,4
300510136,2025,10,1,8
300510136,2025,1937,1,4
300510136,2025,7546,1,4
300510136,2025,2413,1,4
300510136,2025,5487,1,5
300510136,2025,871,1,7
300510136,2025,1169,1,5
300510136,2025,8435,1,4
300510215,2025,825,1,5
300510215,2025,16,1,3
300510215,2025,7661,1,3
300510215,2025,10379,1,3
300510215,2025,3734,1,2
300510215,2025,2865,1,2
300510215,2025,10,1,8
300510215,2025,520,1,0
300510215,2025,42,1,2
300510215,2025,1069,1,4
300510215,2025,2556,1,2
300510215,2025,111,1,4
300510215,2025,1043,1,4
300510215,2025,8400,1,3
300510242,2025,0,1,4
300510242,2025,7542,1,4
300510242,2025,2427,1,0
300510242,2025,1736,1,0
300510242,2025,2377,1,4
300510242,2025,2431,1,4
300510242,2025,2486,1,4
300510242,2025,2237,1,5
300510242,2025,9983,1,5
300510242,2025,5436,1,5
300510242,2025,3096,1,4
300510242,2025,9995,1,7
300510242,2025,10849,1,5
300510242,2025,2847,1,5
300510242,2025,1743,1,4
300510242,2025,4093,1,4
300510242,2025,8994,1,4
300510242,2025,10,2,8
300510242,2025,1922,1,4
300510242,2025,4987,1,4
300510242,2025,2576,1,4
300510242,2025,2068,1,4
300510242,2025,7906,1,4
300510242,2025,4069,1,4
300510278,2025,3552,1,5
300510278,2025,4298,1,4
300510278,2025,1342,1,4
300510278,2025,3208,1,4
300510278,2025,244,1,4
300510278,2025,10488,1,5
300510278,2025,2430,1,0
300510278,2025,643,1,4
300510278,2025,1768,1,5
300510278,2025,3509,1,5
300510296,2025,5584,1,4
300510296,2025,4316,1,1
300510296,2025,825,1,5
300510296,2025,6251,1,5
300510296,2025,11863,1,1
300510296,2025,12929,1,1
300510296,2025,4959,1,5
300510296,2025,8936,1,5
300510296,2025,3949,1,4
300510296,2025,513,1,4
300510296,2025,10,2,8
300510296,2025,1998,1,4
300510296,2025,11134,1,4
300510296,2025,8772,1,4
300510296,2025,1106,1,4
300510296,2025,11110,1,0
300510296,2025,5869,1,4
300510296,2025,10794,1,4
300510312,2025,10,2,8
300510312,2025,1074,1,4
300510312,2025,53,1,4
300510312,2025,2404,1,5
300510312,2025,1089,1,2
300510312,2025,77,1,4
300510312,2025,268,1,4
300510312,2025,1339,1,4
300510393,2025,2321,1,4
300510393,2025,10,3,8
300510393,2025,1127,1,4
300510393,2025,704,1,5
300510393,2025,3231,1,5
300510393,2025,3401,1,5
300510393,2025,462,1,4
300510393,2025,4639,1,4
300510427,2025,4915,1,3
300510427,2025,5480,1,3
300510427,2025,8861,1,4
300510427,2025,10,2,8
300510427,2025,3871,1,0
300510427,2025,1467,1,4
300510427,2025,815,1,4
300510427,2025,6098,1,5
300510427,2025,2128,1,5
300510427,2025,13,1,5
300510427,2025,2383,1,3
300510445,2025,3964,1,4
300510445,2025,2377,1,4
300510445,2025,5382,1,5
300510445,2025,5363,1,5
300510445,2025,11043,1,0
300510481,2025,2207,1,4
300510481,2025,4500,1,5
300510481,2025,11131,1,5
300510481,2025,6325,1,5
300510481,2025,9158,1,5
300510481,2025,2594,1,4
300510481,2025,5191,1,4
300510481,2025,10,1,8
300510481,2025,892,1,4
300510481,2025,2223,1,4
300510481,2025,2349,1,4
300510481,2025,2670,1,4
300510481,2025,4262,1,4
300510481,2025,6002,1,0
300510481,2025,1912,1,4
300510621,2025,7636,1,5
300510621,2025,2381,1,5
300510621,2025,72,1,5
300510621,2025,8760,1,5
300510621,2025,1753,1,4
300510621,2025,2113,1,4
300510621,2025,1690,1,4
300510621,2025,810,1,4
300510621,2025,3892,2,4
300510621,2025,3998,1,4
300510621,2025,115,1,4
300510621,2025,1544,1,4
300510648,2025,1228,1,4
300510648,2025,10205,1,3
300510648,2025,648,1,5
300510666,2025,2413,1,4
300510666,2025,9649,1,0
300510666,2025,2076,1,5
300510666,2025,397,1,5
300510666,2025,4281,1,5
300510684,2025,4724,1,5
300510684,2025,7772,1,5
300510684,2025,7706,1,5
300510684,2025,1684,1,4
300510684,2025,8049,1,5
300510684,2025,2139,1,4
300510684,2025,10,2,8
300510684,2025,5033,1,4
300510684,2025,1104,1,4
300510684,2025,1228,1,4
300510684,2025,5986,1,4
300510684,2025,872,1,5
300510684,2025,4937,1,5
300510684,2025,672,1,5
300510709,2025,3478,1,0
300510709,2025,1944,1,4
300510709,2025,3896,1,0
300510709,2025,3016,1,4
300510709,2025,2982,1,4
300510709,2025,2198,1,5
300510709,2025,4753,1,5
300510709,2025,1830,1,4
300510709,2025,1060,1,4
300510709,2025,1013,1,4
300510709,2025,10,1,8
300510709,2025,1122,1,4
300510709,2025,4694,1,4
300510709,2025,3101,1,4
300510709,2025,7113,1,4
300510709,2025,2096,1,4
300510709,2025,4864,1,4
300510709,2025,3487,1,2
300510709,2025,8209,1,4
300510709,2025,5957,1,1
300510736,2025,987,1,4
300510736,2025,1967,1,4
300510736,2025,861,1,4
300510736,2025,3089,1,4
300510736,2025,1345,1,4
300510736,2025,1194,1,4
300510736,2025,1074,1,4
300510736,2025,2102,1,4
300510736,2025,8459,1,4
300510736,2025,994,1,4
300510736,2025,10,3,8
300510736,2025,2942,1,4
300510736,2025,1946,1,4
300510736,2025,2106,1,4
300510736,2025,2606,1,4
300510736,2025,2431,1,4
300510736,2025,4500,1,5
300510736,2025,12362,1,5
300510736,2025,7851,1,5
300510736,2025,4952,1,5
300510736,2025,3801,1,5
300510736,2025,6076,1,4
300510736,2025,5436,1,5
300510736,2025,4432,1,3
300510736,2025,7684,1,5
300510736,2025,4900,1,5
300510736,2025,4819,1,4
300510736,2025,4207,1,4
300510736,2025,779,1,4
300510736,2025,2221,1,4
300510736,2025,1284,1,4
300510736,2025,950,1,4
300510736,2025,1188,1,1
300510736,2025,2246,1,4
300510736,2025,1193,1,4
300510736,2025,2065,1,4
300510736,2025,3501,1,4
300510736,2025,2411,3,4
300510745,2025,2529,1,4
300510745,2025,5293,1,4
300510745,2025,11027,1,4
300510745,2025,10,1,8
300510745,2025,1028,1,4
300510745,2025,6753,1,4
300510745,2025,1074,1,4
300510745,2025,842,1,4
300510745,2025,4764,1,4
300510745,2025,4880,1,5
300510745,2025,2089,1,4
300510763,2025,4101,1,4
300510763,2025,2400,1,5
300510763,2025,4937,2,5
300510763,2025,7167,1,5
300510763,2025,7649,1,3
300510763,2025,11132,1,5
300510763,2025,3616,1,5
300510763,2025,2174,1,5
300510763,2025,432,1,5
300510763,2025,12197,1,5
300510763,2025,10,7,8
300510763,2025,8152,1,5
300510763,2025,3231,2,5
300510763,2025,2404,1,5
300510763,2025,5476,1,5
300510763,2025,7772,1,5
300510763,2025,2215,1,5
300510763,2025,8714,1,5
300510763,2025,3517,1,5
300510763,2025,7266,1,5
300510763,2025,7918,1,1
300510763,2025,929,1,4
300510763,2025,11168,1,5
300510763,2025,1956,1,4
300510763,2025,1743,1,4
300510763,2025,340,1,4
300510763,2025,405,1,4
300510763,2025,1967,1,4
300510763,2025,2421,1,0
300510763,2025,3737,1,4
300510763,2025,3621,1,4
300510763,2025,4143,1,4
300510939,2025,2855,1,2
300510939,2025,1618,1,4
300510939,2025,3673,1,2
300510939,2025,10,3,8
300510939,2025,693,1,2
300510939,2025,1645,1,4
300510939,2025,390,1,4
300510939,2025,7994,1,3
300510939,2025,64,1,4
300510939,2025,3649,1,3
300510939,2025,966,1,3
300510957,2025,3998,1,4
300511055,2025,3441,1,5
300511055,2025,5709,1,3
300511055,2025,9157,1,5
300511055,2025,10,1,8
300511055,2025,714,1,5
300511055,2025,1675,1,4
300511055,2025,5082,1,4
300511055,2025,535,1,2
300511055,2025,2894,1,5
300511055,2025,8287,1,3
300511055,2025,5047,1,5
300511125,2025,10,1,8
300511125,2025,2026,1,4
300511125,2025,1434,1,4
300511125,2025,1323,1,4
300511125,2025,9182,1,4
300511204,2025,3009,1,4
300511204,2025,5452,1,0
300511204,2025,7021,1,4
300511204,2025,4274,1,1
300511204,2025,1163,1,2
300511204,2025,1562,1,4
300511204,2025,855,1,4
300511204,2025,9322,1,4
300511204,2025,4609,1,4
300511204,2025,2195,1,4
300511204,2025,3096,1,4
300511204,2025,6058,1,4
300511204,2025,643,1,4
300511204,2025,2076,1,5
300511204,2025,2052,1,5
300511204,2025,2633,1,5
300511204,2025,3392,1,5
300511204,2025,5448,1,7
300511204,2025,766,1,5
300511204,2025,5001,1,5
300511204,2025,8322,1,5
300511204,2025,1279,1,4
300511204,2025,125,1,5
300511204,2025,8107,1,5
300511204,2025,4852,1,5
300511204,2025,12930,1,3
300511204,2025,645,1,5
300511204,2025,965,1,5
300511204,2025,1056,1,5
300511204,2025,2381,1,5
300511204,2025,2568,1,7
300511204,2025,2383,1,3
300511204,2025,10,4,8
300511204,2025,9128,1,3
300511204,2025,4791,1,5
300511204,2025,8714,1,5
300511204,2025,3801,1,5
300511204,2025,3844,1,7
300511204,2025,7793,1,5
300511204,2025,5086,1,5
300511204,2025,1667,1,5
300511204,2025,9140,1,3
300511204,2025,5480,2,3
300511204,2025,438,1,4
300511204,2025,337,1,7
300511204,2025,3868,1,5
300511204,2025,1683,1,5
300511204,2025,8494,1,4
300511204,2025,10083,1,1
300511204,2025,2189,1,2
300511204,2025,318,1,4
300511204,2025,983,1,4
300511204,2025,3064,2,4
300511204,2025,2223,1,4
300511222,2025,2710,1,5
300511222,2025,4306,1,5
300511222,2025,10,2,8
300511222,2025,2097,1,4
300511222,2025,1228,1,4
300511222,2025,2150,1,4
300511222,2025,2126,1,4
300511222,2025,815,1,4
300511222,2025,8357,1,5
300511222,2025,6180,1,5
300511231,2025,4534,1,5
300511231,2025,4943,1,5
300511231,2025,2468,1,4
300511231,2025,11071,1,4
300511231,2025,7361,1,4
300511231,2025,301,2,8
300511231,2025,10,3,8
300511231,2025,7544,1,4
300511231,2025,2414,1,4
300511231,2025,11325,1,4
300511231,2025,851,1,8
300511231,2025,7106,1,4
300511231,2025,2443,1,5
300511294,2025,4900,1,5
300511522,2025,3159,1,2
300511522,2025,3390,1,4
300511522,2025,64,1,4
300511522,2025,4351,1,4
300511522,2025,522,1,2
300511522,2025,3167,1,4
300511522,2025,1321,1,4
300511522,2025,210,1,2
300511522,2025,4706,1,2
300511522,2025,60,1,2
300511522,2025,10,1,8
300511522,2025,1419,1,2
300511522,2025,1548,1,2
300511522,2025,4318,1,2
300511522,2025,906,1,4
300511522,2025,2541,1,4
300511522,2025,1409,1,4
300511585,2025,106,1,4
300511585,2025,953,1,4
300511585,2025,3806,1,4
300511585,2025,1898,1,4
300511585,2025,10,5,8
300511585,2025,4446,1,4
300511585,2025,4078,1,0
300511585,2025,7824,1,4
300511585,2025,5743,1,4
300511585,2025,4461,1,4
300511585,2025,3598,1,4
300511585,2025,9649,1,0
300511601,2025,3395,1,4
300511601,2025,2203,1,4
300511601,2025,7113,1,4
300511601,2025,2210,1,4
300511601,2025,3073,1,4
300511601,2025,2539,1,4
300511601,2025,961,1,5
300511601,2025,3037,1,4
300511601,2025,2405,1,4
300511779,2025,1149,1,4
300511779,2025,12154,1,5
300511779,2025,425,1,5
300511779,2025,2380,1,5
300511779,2025,10100,1,5
300511779,2025,3879,1,5
300511779,2025,1122,1,4
300511779,2025,975,1,4
300511779,2025,567,1,4
300511779,2025,6874,1,4
300511779,2025,5632,1,4
300511779,2025,3090,1,1
300511779,2025,10950,1,0
300511779,2025,7940,1,4
300511779,2025,2431,1,4
300511822,2025,10,2,8
300511822,2025,1313,1,4
300511822,2025,6930,1,4
300511822,2025,3075,1,4
300511822,2025,158,1,0
300511822,2025,199,1,4
300511822,2025,3002,1,4
300511822,2025,4413,1,4
300511849,2025,4188,1,4
300511849,2025,3563,1,3
300511849,2025,227,1,3
300511849,2025,1054,1,3
300511849,2025,1744,1,4
300511867,2025,921,1,5
300511867,2025,10304,1,5
300511867,2025,3981,1,5
300511867,2025,19,1,5
300511867,2025,950,2,4
300511867,2025,10,1,8
300511867,2025,5342,1,2
300511867,2025,347,1,4
300511867,2025,4870,1,4
300511867,2025,1767,1,4
300511867,2025,6097,1,5
300511867,2025,913,1,5
300511867,2025,1169,1,5
300511894,2025,4809,1,4
300511894,2025,1713,1,4
300511894,2025,1880,1,4
300511894,2025,10067,1,5
300511894,2025,3971,1,5
300512026,2025,7660,1,4
300512026,2025,1112,1,3
300512044,2025,8070,1,5
300512044,2025,2528,1,4
300512044,2025,214,1,4
300512044,2025,2150,1,4
300512044,2025,2415,1,4
300512044,2025,2153,1,4
300512044,2025,4912,1,5
300512044,2025,1718,1,5
300512044,2025,727,1,5
300512044,2025,5040,1,5
300512044,2025,1423,1,5
300512071,2025,1741,1,4
300512071,2025,6421,1,4
300512071,2025,7330,1,4
300512071,2025,9419,1,4
300512071,2025,7340,1,4
300512071,2025,6714,1,4
300512071,2025,10,2,8
300512071,2025,9367,1,4
300512071,2025,10966,1,4
300512071,2025,7813,1,4
300512071,2025,5927,1,4
300512071,2025,4316,1,1
300512071,2025,9649,1,0
300512071,2025,6157,1,1
300512105,2025,3095,1,5
300512114,2025,5955,1,2
300512114,2025,6070,1,4
300512114,2025,913,1,5
300512114,2025,8194,1,1
300512114,2025,10,4,8
300512114,2025,6463,1,4
300512114,2025,3103,1,4
300512114,2025,2925,1,4
300512114,2025,10909,1,4
300512114,2025,7518,1,0
300512114,2025,3633,1,4
300512114,2025,3028,1,4
300512159,2025,10,1,8
300512177,2025,10,3,8
300512177,2025,10689,1,5
300512177,2025,365,1,5
300512177,2025,2404,2,5
300512177,2025,8777,1,5
300512177,2025,2254,1,3
300512177,2025,4578,1,4
300512186,2025,4887,1,0
300512186,2025,4870,1,4
300512186,2025,2129,1,5
300512186,2025,11763,1,1
300512186,2025,12931,1,5
300512186,2025,3572,1,0
300512186,2025,6629,1,4
300512186,2025,10,1,8
300512186,2025,5333,1,4
300512186,2025,8506,1,4
300512186,2025,7070,1,4
300512186,2025,4262,1,4
300512186,2025,9649,1,0
300512186,2025,3478,1,0
300512186,2025,1908,1,4
300512211,2025,1508,1,4
300512211,2025,2110,1,4
300512211,2025,6479,1,4
300512211,2025,1516,1,4
300512211,2025,2244,1,4
300512211,2025,9176,1,4
300512211,2025,2289,1,4
300512211,2025,10,2,8
300512211,2025,10045,1,4
300512211,2025,2606,1,4
300512211,2025,4305,1,5
300512211,2025,5044,1,5
300512211,2025,8759,1,7
300512211,2025,4863,1,5
300512229,2025,10,1,8
300512238,2025,9934,1,5
300512238,2025,1499,1,5
300512238,2025,8791,1,4
300512238,2025,2362,1,4
300512238,2025,10,2,8
