yop_kodu,year,lise_id,yerlesen_sayisi,school_type
109910019,2025,2246,1,4
109910019,2025,5427,1,4
109910019,2025,4253,1,4
109910019,2025,6991,2,4
109910019,2025,1813,1,4
109910019,2025,4012,1,4
109910019,2025,1522,1,4
109910019,2025,4045,1,4
109910019,2025,7067,1,4
109910019,2025,2350,1,4
109910019,2025,10,11,8
109910019,2025,1273,1,4
109910019,2025,595,1,0
109910019,2025,5773,2,4
109910019,2025,2023,1,4
109910019,2025,5031,1,4
109910019,2025,253,1,5
109910019,2025,2042,1,4
109910019,2025,166,1,4
109910019,2025,3885,1,4
109910019,2025,3560,1,0
109910019,2025,10658,1,5
109910019,2025,1884,1,4
109910019,2025,1912,1,4
109910019,2025,493,1,5
109910019,2025,4373,1,5
109910019,2025,8279,1,5
109910019,2025,10081,1,5
109910019,2025,3784,1,5
109910019,2025,6243,1,5
109910019,2025,4503,1,5
109910019,2025,441,1,5
109910019,2025,7853,1,4
109910019,2025,443,1,5
109910019,2025,1683,2,5
109910019,2025,6373,1,5
109910019,2025,77,1,4
109910019,2025,2507,1,2
109910019,2025,6436,1,4
109910019,2025,9809,2,4
109910019,2025,2359,1,4
109910019,2025,4163,1,4
109910019,2025,2756,1,4
109910019,2025,6270,1,4
109910019,2025,7408,1,4
109910019,2025,448,1,4
109910019,2025,4963,1,4
109910019,2025,981,1,4
109910019,2025,3721,1,4
109910028,2025,6852,1,4
109910028,2025,2204,1,4
109910028,2025,5259,1,4
109910028,2025,3809,1,4
109910028,2025,2689,1,4
109910028,2025,3631,1,2
109910028,2025,2872,1,4
109910028,2025,7486,1,4
109910028,2025,2226,1,4
109910028,2025,693,1,2
109910028,2025,10,6,8
109910028,2025,3009,1,4
109910028,2025,3855,1,4
109910028,2025,632,1,4
109910028,2025,863,1,4
109910028,2025,990,1,2
109910028,2025,2668,1,4
109910028,2025,2101,1,4
109910028,2025,841,1,4
109910028,2025,3156,1,2
109910028,2025,2370,1,2
109910028,2025,975,1,4
109910028,2025,5747,1,4
109910028,2025,637,1,4
109910028,2025,1820,2,4
109910028,2025,3621,1,4
109910028,2025,3,1,2
109910028,2025,12296,1,4
109910028,2025,1994,1,4
109910028,2025,8104,1,2
109910028,2025,4015,1,4
109910028,2025,3740,1,4
109910028,2025,1671,1,4
109910028,2025,536,1,2
109910028,2025,2234,1,4
109910028,2025,1411,1,4
109910028,2025,2171,1,4
109910028,2025,9773,1,4
109910028,2025,1947,1,4
109910028,2025,2915,1,4
109910028,2025,3727,1,2
109910028,2025,258,1,4
109910028,2025,3908,1,4
109910028,2025,2113,1,4
109910028,2025,5041,1,4
109910028,2025,1972,1,4
109910028,2025,3767,1,5
109910028,2025,671,1,5
109910028,2025,2331,1,5
109910028,2025,10301,1,7
109910028,2025,10474,1,3
109910028,2025,1828,1,5
109910028,2025,3826,1,5
109910028,2025,11337,1,3
109910028,2025,2536,1,4
109910028,2025,2241,1,5
109910028,2025,2934,1,3
109910028,2025,722,1,5
109910028,2025,7780,1,5
109910028,2025,451,1,5
109910028,2025,456,1,4
109910028,2025,2974,1,2
109910028,2025,236,1,2
109910028,2025,2276,1,4
109910028,2025,1016,1,4
109910028,2025,1782,1,4
109910028,2025,7968,1,4
109910028,2025,3592,1,4
109910028,2025,4921,1,4
109910028,2025,8089,1,4
109910028,2025,2642,1,4
109910028,2025,214,1,4
109910028,2025,316,1,4
109910028,2025,2138,1,4
109910028,2025,2200,1,4
109910028,2025,1021,1,4
109910028,2025,3540,1,0
109910028,2025,2864,1,2
109910028,2025,3754,1,4
109910028,2025,2966,1,2
109910028,2025,2454,1,4
109910028,2025,5684,1,4
109910037,2025,457,1,4
109910037,2025,625,1,4
109910037,2025,221,1,4
109910037,2025,5684,1,4
109910037,2025,3696,1,4
109910037,2025,9735,1,4
109910037,2025,7115,1,4
109910037,2025,1702,1,4
109910037,2025,109,1,4
109910037,2025,407,1,4
109910037,2025,2696,1,4
109910037,2025,2284,1,4
109910037,2025,731,1,4
109910037,2025,1539,1,4
109910037,2025,3680,3,2
109910037,2025,3998,1,4
109910037,2025,193,1,2
109910037,2025,3477,1,2
109910037,2025,4228,1,4
109910037,2025,533,1,4
109910037,2025,2888,1,2
109910037,2025,1792,1,4
109910037,2025,1849,1,4
109910037,2025,3333,1,4
109910037,2025,597,1,4
109910037,2025,782,1,4
109910037,2025,1947,1,4
109910037,2025,4478,2,4
109910037,2025,1912,1,4
109910037,2025,3344,1,2
109910037,2025,1913,1,2
109910037,2025,419,1,5
109910037,2025,3169,1,0
109910037,2025,11889,1,5
109910037,2025,762,1,5
109910037,2025,7158,1,5
109910037,2025,2331,1,5
109910037,2025,1739,1,5
109910037,2025,5382,1,5
109910037,2025,5383,1,3
109910037,2025,1557,1,5
109910037,2025,9943,1,5
109910037,2025,751,1,5
109910037,2025,10,1,8
109910037,2025,11613,1,3
109910037,2025,3466,1,4
109910037,2025,461,1,4
109910037,2025,1957,1,4
109910037,2025,268,1,4
109910037,2025,82,1,4
109910037,2025,10483,1,4
109910037,2025,5508,1,4
109910037,2025,659,1,4
109910037,2025,316,1,4
109910037,2025,2967,1,4
109910037,2025,7758,1,4
109910037,2025,3694,1,4
109910037,2025,4967,1,4
109910037,2025,696,1,4
109910037,2025,184,1,4
109910037,2025,2865,1,2
109910037,2025,7612,1,4
109910037,2025,587,1,4
109910037,2025,4140,1,4
109910064,2025,5427,1,4
109910064,2025,4010,1,4
109910064,2025,1162,1,4
109910064,2025,9735,1,4
109910064,2025,6905,1,4
109910064,2025,2411,1,4
109910064,2025,1791,1,4
109910064,2025,3485,1,4
109910064,2025,4459,1,4
109910064,2025,7502,1,4
109910064,2025,2680,1,4
109910064,2025,8826,1,4
109910064,2025,2929,1,4
109910064,2025,5882,1,4
109910064,2025,2106,1,4
109910064,2025,3885,1,4
109910064,2025,689,1,4
109910064,2025,3094,1,4
109910064,2025,2487,1,4
109910064,2025,3898,1,4
109910064,2025,4964,1,4
109910064,2025,10,6,8
109910064,2025,3690,1,5
109910064,2025,10059,1,5
109910064,2025,10490,1,5
109910064,2025,3348,1,4
109910064,2025,2313,1,4
109910064,2025,7338,1,4
109910064,2025,7357,1,4
109910064,2025,10996,1,4
109910064,2025,2573,1,0
109910064,2025,428,1,4
109910064,2025,3253,1,4
109910064,2025,567,1,4
109910064,2025,1692,1,4
109910064,2025,8088,1,4
109910064,2025,2617,1,4
109910073,2025,3816,1,4
109910073,2025,3580,1,4
109910073,2025,559,1,4
109910073,2025,247,1,4
109910073,2025,1572,1,4
109910073,2025,1073,1,4
109910073,2025,5026,1,6
109910073,2025,1968,1,4
109910073,2025,4085,1,4
109910073,2025,2101,1,4
109910073,2025,10,9,8
109910073,2025,3737,1,4
109910073,2025,3934,1,4
109910073,2025,2479,1,4
109910073,2025,1941,1,4
109910073,2025,959,1,4
109910073,2025,2106,1,4
109910073,2025,2605,1,4
109910073,2025,5442,1,4
109910073,2025,836,1,4
109910073,2025,1716,1,4
109910073,2025,2148,1,4
109910073,2025,5000,1,4
109910073,2025,6070,1,4
109910073,2025,3898,1,4
109910073,2025,4018,1,0
109910073,2025,7636,1,5
109910073,2025,336,1,5
109910073,2025,2385,1,5
109910073,2025,4238,1,5
109910073,2025,5438,1,4
109910073,2025,3847,1,4
109910073,2025,9701,1,4
109910073,2025,2159,1,4
109910073,2025,4303,1,4
109910073,2025,4940,1,4
109910073,2025,3372,1,4
109910073,2025,2849,1,4
109910073,2025,215,1,4
109910073,2025,4117,1,4
109910073,2025,7868,1,1
109910073,2025,567,1,4
109910073,2025,3179,1,5
109910073,2025,5012,1,4
109910073,2025,7760,1,4
109910082,2025,4699,1,4
109910082,2025,2371,1,4
109910082,2025,4245,1,4
109910082,2025,5031,2,4
109910082,2025,4995,1,4
109910082,2025,2651,1,4
109910082,2025,4246,1,4
109910082,2025,4477,1,4
109910082,2025,65,2,4
109910082,2025,4204,1,4
109910082,2025,3894,1,4
109910082,2025,10237,2,5
109910082,2025,474,1,5
109910082,2025,8115,1,5
109910082,2025,328,1,5
109910082,2025,2353,1,3
109910082,2025,669,1,5
109910082,2025,5008,1,5
109910082,2025,3900,1,4
109910082,2025,930,1,4
109910082,2025,10502,1,4
109910082,2025,10,7,8
109910082,2025,4921,1,4
109910082,2025,7380,1,4
109910082,2025,4787,1,4
109910082,2025,1504,1,4
109910082,2025,4808,1,4
109910082,2025,2619,1,4
109910082,2025,5427,1,4
109910082,2025,5387,2,4
109910082,2025,6930,1,4
109910082,2025,2279,1,4
109910091,2025,3253,1,4
109910091,2025,214,2,4
109910091,2025,1807,1,4
109910091,2025,1749,1,4
109910091,2025,3572,1,0
109910091,2025,4489,1,0
109910091,2025,215,1,4
109910091,2025,1962,1,0
109910091,2025,2573,1,0
109910091,2025,5547,1,4
109910091,2025,5010,1,4
109910091,2025,587,1,4
109910091,2025,3062,1,4
109910091,2025,219,1,2
109910091,2025,4875,1,0
109910091,2025,4924,1,0
109910091,2025,1090,1,4
109910091,2025,103,1,4
109910091,2025,7957,1,4
109910091,2025,3503,2,0
109910091,2025,5024,1,0
109910091,2025,1104,1,4
109910091,2025,4470,1,4
109910091,2025,2617,1,4
109910091,2025,3540,1,0
109910091,2025,716,1,0
109910091,2025,730,1,4
109910091,2025,2557,1,0
109910091,2025,2926,1,4
109910091,2025,404,1,4
109910091,2025,395,1,4
109910091,2025,142,1,4
109910091,2025,4141,1,4
109910091,2025,2201,1,4
109910091,2025,5351,1,4
109910091,2025,2120,1,4
109910091,2025,1069,1,4
109910091,2025,2579,1,4
109910091,2025,1071,1,2
109910091,2025,1345,1,4
109910091,2025,1726,2,4
109910091,2025,989,1,4
109910091,2025,3582,1,0
109910091,2025,2421,1,0
109910091,2025,889,1,4
109910091,2025,7015,1,4
109910091,2025,635,1,0
109910091,2025,332,1,4
109910091,2025,595,2,0
109910091,2025,562,1,0
109910091,2025,412,1,4
109910091,2025,1109,1,4
109910091,2025,3839,1,0
109910091,2025,4289,1,0
109910091,2025,732,1,4
109910091,2025,10,9,8
109910091,2025,2764,1,0
109910091,2025,7894,1,4
109910091,2025,733,1,4
109910091,2025,4027,1,0
109910091,2025,3964,1,4
109910091,2025,2426,1,0
109910091,2025,4061,1,4
109910091,2025,3159,1,2
109910091,2025,7136,1,0
109910091,2025,819,1,4
109910091,2025,890,1,4
109910091,2025,1370,1,4
