yop_kodu,year,lise_id,yerlesen_sayisi,school_type
206110017,2025,708,1,7
206110017,2025,1424,1,3
206110017,2025,8583,1,7
206110017,2025,553,2,3
206110017,2025,5375,1,1
206110017,2025,1034,1,1
206110017,2025,8699,1,3
206110017,2025,1007,1,1
206110017,2025,7990,1,5
206110017,2025,8244,1,5
206110017,2025,10,1,8
206110017,2025,3629,1,0
206110017,2025,356,1,1
206110017,2025,807,1,4
206110017,2025,490,1,5
206110017,2025,531,1,0
206110017,2025,783,1,1
206110017,2025,9904,1,7
206110017,2025,787,1,3
206110017,2025,3643,2,1
206110026,2025,8033,1,2
206110026,2025,1403,1,2
206110026,2025,7445,1,4
206110026,2025,521,1,2
206110026,2025,2887,1,6
206110026,2025,5263,1,2
206110026,2025,8100,2,5
206110026,2025,10098,1,3
206110026,2025,4827,1,2
206110035,2025,734,1,1
206110035,2025,10106,1,3
206110035,2025,8244,1,5
206110035,2025,490,1,5
206110035,2025,10197,1,3
206110035,2025,9904,1,7
206110035,2025,791,1,3
206110035,2025,717,1,5
206110035,2025,1514,1,3
206110035,2025,682,1,3
206110035,2025,795,1,3
206110044,2025,720,1,3
206110044,2025,10667,1,3
206110044,2025,7759,1,4
206110044,2025,3674,1,2
206110044,2025,2866,1,2
206110044,2025,8233,1,5
206110044,2025,2317,1,4
206110044,2025,2277,1,2
206110044,2025,3486,1,2
206110044,2025,253,1,5
206110044,2025,733,1,4
206110044,2025,540,1,3
206110044,2025,528,1,3
206110062,2025,768,1,3
206110062,2025,830,1,4
206110062,2025,7957,1,4
206110062,2025,625,1,4
206110062,2025,632,1,4
206110062,2025,53,1,4
206110062,2025,40,1,4
206110062,2025,4472,1,4
206110062,2025,4000,1,4
206110062,2025,532,1,4
206110105,2025,890,1,4
206110105,2025,2303,1,4
206110105,2025,715,1,4
206110105,2025,630,1,4
206110105,2025,2166,1,4
206110105,2025,1352,1,5
206110141,2025,8309,1,4
206110141,2025,8634,1,4
206110141,2025,10,1,8
206110141,2025,4056,1,4
206110141,2025,5341,2,4
206110141,2025,1126,1,4
206110141,2025,7039,1,4
206110141,2025,326,1,0
206110141,2025,2909,1,4
206110168,2025,1372,1,4
206110168,2025,6115,1,5
206110168,2025,169,1,5
206110168,2025,10,1,8
206110168,2025,10658,1,5
206110168,2025,4358,1,0
206110168,2025,2374,1,4
206110168,2025,413,1,4
206110168,2025,526,1,4
206110168,2025,3740,1,4
206110168,2025,5986,1,4
206110186,2025,316,1,4
206110186,2025,3352,1,4
206110186,2025,10,2,8
206110186,2025,3476,1,4
206110186,2025,7069,1,4
206110186,2025,536,1,2
206110186,2025,3884,1,4
206110186,2025,8278,1,4
206110186,2025,1034,1,1
206110186,2025,149,1,3
206110195,2025,4274,1,1
206110202,2025,403,1,4
206110202,2025,53,2,4
206110202,2025,698,1,4
206110202,2025,680,1,7
206110202,2025,729,1,1
206110202,2025,3900,1,4
206110202,2025,2319,1,4
206110202,2025,3629,1,0
206110229,2025,10,1,8
206110229,2025,3340,1,4
206110229,2025,2882,1,4
206110229,2025,8033,1,2
206110238,2025,2635,1,5
206110238,2025,6142,1,7
206110238,2025,471,1,7
206110238,2025,704,1,5
206110238,2025,434,1,5
206110238,2025,10466,1,5
206110238,2025,5511,1,5
206110238,2025,10031,1,1
206110238,2025,770,1,5
206110238,2025,11679,1,7
206110238,2025,10,1,8
206110238,2025,575,1,5
206110238,2025,10194,1,5
206110238,2025,8160,1,5
206110238,2025,710,1,7
206110238,2025,1769,1,5
206110238,2025,1681,1,1
206110238,2025,584,1,1
206110238,2025,734,1,1
206110238,2025,3628,1,5
206110238,2025,6357,1,5
206110238,2025,1117,1,4
206110238,2025,9709,1,5
206110238,2025,453,1,5
206110238,2025,381,1,5
206110238,2025,385,1,5
206110238,2025,356,1,1
206110238,2025,864,1,4
206110238,2025,589,1,5
206110238,2025,517,1,5
206110238,2025,389,1,5
206110238,2025,10082,1,5
206110238,2025,9111,1,5
206110247,2025,8155,1,0
206110247,2025,8097,1,4
206110247,2025,881,1,2
206110247,2025,10090,1,5
206110247,2025,183,1,2
206110247,2025,1097,1,4
206110247,2025,8457,1,5
206110247,2025,10,1,8
206110247,2025,2850,1,4
206110247,2025,331,1,4
206110247,2025,40,1,4
206110247,2025,694,1,4
206110247,2025,550,1,5
206110247,2025,6357,1,5
206110247,2025,947,1,5
206110265,2025,10,1,8
206110265,2025,10506,1,4
206110265,2025,2870,1,4
206110265,2025,5259,1,4
206110265,2025,835,1,4
206110265,2025,5478,1,5
206110283,2025,1188,1,1
206110283,2025,5484,1,4
206110283,2025,8666,1,4
206110283,2025,2941,1,1
206110308,2025,5024,1,0
206110308,2025,3891,1,4
206110308,2025,1454,1,4
206110308,2025,2276,1,4
206110398,2025,768,1,3
206110398,2025,611,1,5
206110398,2025,1769,1,5
206110398,2025,830,1,4
206110398,2025,3572,1,0
206110398,2025,87,1,2
206110398,2025,3169,1,0
206110398,2025,10,1,8
206110398,2025,318,1,4
206110398,2025,3426,1,4
206110398,2025,47,1,4
206110398,2025,1539,1,4
206110398,2025,836,1,4
206110398,2025,2892,1,4
206110459,2025,1109,1,4
206110459,2025,3839,1,0
206110459,2025,538,1,6
206110459,2025,4981,1,5
206110459,2025,3539,1,0
206110468,2025,516,1,1
206110468,2025,5665,1,4
206110468,2025,361,1,7
206110468,2025,742,1,5
206110468,2025,5708,1,5
206110468,2025,10086,1,1
206110468,2025,5375,1,1
206110468,2025,356,1,1
206110477,2025,4291,1,7
206110477,2025,7685,1,5
206110477,2025,1116,1,4
206110477,2025,3539,1,0
206110477,2025,138,1,2
206110477,2025,10,1,8
206110477,2025,3415,1,0
206110477,2025,2850,1,4
206110477,2025,630,1,4
206110477,2025,2164,1,4
206110477,2025,2232,1,4
206110477,2025,1761,1,0
206110477,2025,286,1,0
206110495,2025,10,1,8
206110495,2025,1043,1,4
206110495,2025,535,1,2
206110495,2025,10463,1,1
206110511,2025,10,1,8
206110511,2025,4677,1,4
206110511,2025,202,1,2
206110511,2025,816,1,0
206110538,2025,891,1,4
206110538,2025,400,1,4
206110538,2025,420,1,5
206110538,2025,5430,1,5
206110538,2025,6217,1,5
206110538,2025,830,1,4
206110538,2025,3572,1,0
206110556,2025,715,1,4
206110556,2025,2226,1,4
206110556,2025,350,1,0
206110556,2025,351,1,0
206110556,2025,5485,1,0
206110556,2025,530,1,4
206110556,2025,7718,1,0
206110556,2025,4197,1,4
206110574,2025,10,1,8
206110574,2025,2433,1,0
206110574,2025,394,1,0
206110574,2025,715,1,4
206110574,2025,3873,1,4
206110574,2025,8155,1,0
206110574,2025,830,1,4
206110574,2025,466,1,4
206110583,2025,2205,1,4
206110583,2025,9963,1,5
206110583,2025,752,1,1
206110592,2025,1127,1,4
206110592,2025,9954,1,3
206110592,2025,5338,1,5
206110592,2025,3615,1,5
206110592,2025,706,1,5
206110592,2025,4089,1,5
206110592,2025,5530,1,5
206110592,2025,3666,1,2
206110592,2025,5376,1,4
206110592,2025,10,1,8
206110592,2025,939,1,2
206110592,2025,8507,1,4
206110592,2025,7625,1,2
206110592,2025,526,1,4
206110592,2025,533,1,4
206110592,2025,535,1,2
206110592,2025,536,1,2
206110617,2025,521,1,2
206110617,2025,2163,1,4
206110617,2025,535,1,2
206110617,2025,9111,1,5
206110617,2025,4706,1,2
206110617,2025,10147,1,4
206110626,2025,10142,1,3
206110626,2025,516,1,1
206110626,2025,471,1,7
206110635,2025,4937,1,5
206110635,2025,773,1,5
206110635,2025,8378,1,3
206110635,2025,670,1,4
206110635,2025,316,1,4
206110635,2025,4827,1,2
206110635,2025,2389,1,4
206110635,2025,8507,1,4
206110635,2025,3744,1,4
206110635,2025,410,1,4
206110635,2025,3905,1,4
206110635,2025,3390,1,4
206110635,2025,695,1,2
206110635,2025,1718,1,5
206110635,2025,493,1,5
206110653,2025,1957,1,4
206110653,2025,5650,1,2
206110653,2025,716,1,0
206110653,2025,39,1,4
206110653,2025,3680,1,2
206110653,2025,526,2,4
206110653,2025,3229,1,4
206110653,2025,1409,1,4
206110653,2025,11994,1,3
206110671,2025,185,1,4
206110671,2025,549,1,4
206110671,2025,3677,1,2
206110671,2025,3486,1,2
206110671,2025,4002,1,0
206110671,2025,1150,1,4
206110671,2025,7253,1,5
206110671,2025,8041,1,5
206110671,2025,4818,1,2
206110689,2025,490,1,5
206110689,2025,801,1,1
206110698,2025,7237,1,5
206110698,2025,2218,1,2
206110698,2025,8309,1,4
206110698,2025,3915,1,2
206110698,2025,384,1,1
206110698,2025,4827,1,2
206110698,2025,895,1,4
206110698,2025,2718,1,0
206110698,2025,3891,1,4
206110698,2025,3679,1,2
206110698,2025,407,1,4
206110698,2025,906,1,4
206110698,2025,2290,1,4
206110698,2025,762,1,5
206110714,2025,2218,1,2
206110714,2025,2611,1,5
206110714,2025,4188,1,4
206110714,2025,2431,1,4
206110714,2025,2898,1,3
206110714,2025,9960,1,3
206110714,2025,3529,1,5
206110714,2025,3590,1,3
206110714,2025,1007,1,1
206110714,2025,7992,1,5
206110741,2025,11900,1,3
206110741,2025,10165,1,3
206110741,2025,493,1,5
206110741,2025,9904,1,7
206110741,2025,736,2,3
206110741,2025,542,1,1
206110741,2025,8103,1,3
206110741,2025,8038,1,3
206110741,2025,2569,1,5
206110741,2025,9152,1,3
206110741,2025,8233,1,5
206110741,2025,2334,1,3
206110741,2025,553,1,3
206110741,2025,5375,1,1
206110741,2025,8024,1,3
206110741,2025,7269,1,5
206110741,2025,729,2,1
206110741,2025,8244,2,5
206110741,2025,802,1,2
206110741,2025,2866,1,2
206110741,2025,8507,1,4
206110741,2025,143,1,2
206110741,2025,39,1,4
206110741,2025,806,1,3
206110741,2025,326,1,0
206110741,2025,5441,1,3
206110741,2025,490,1,5
206110759,2025,968,1,3
206110759,2025,4236,1,5
206110759,2025,8269,1,3
206110759,2025,797,1,3
206110759,2025,8403,1,3
206110759,2025,3228,1,2
206110759,2025,1213,1,4
206110759,2025,807,1,4
206110759,2025,534,1,2
206110759,2025,11117,1,3
206110759,2025,2740,1,7
206110759,2025,1514,1,3
206110759,2025,2334,1,3
206110935,2025,549,1,4
206110935,2025,10142,1,3
206110935,2025,4141,1,4
206110935,2025,3910,1,3
206110935,2025,8704,1,1
206110935,2025,2590,1,4
206110935,2025,3674,1,2
206110989,2025,392,1,5
206110989,2025,255,1,4
206110989,2025,536,1,2
206110989,2025,8806,1,4
206110989,2025,2128,1,5
206110989,2025,8668,1,5
206110989,2025,575,1,5
206110989,2025,8410,1,3
206110989,2025,8337,1,2
206110998,2025,253,1,5
206110998,2025,1411,1,4
206110998,2025,2397,1,5
206110998,2025,1912,1,4
