yop_kodu,year,lise_id,yerlesen_sayisi,school_type
110310011,2025,38,1,4
110310011,2025,5773,1,4
110310011,2025,3244,1,4
110310011,2025,1944,1,4
110310011,2025,7602,1,5
110310011,2025,2841,1,4
110310011,2025,437,1,5
110310011,2025,6260,1,5
110310011,2025,4020,1,1
110310011,2025,1088,1,2
110310011,2025,503,1,4
110310011,2025,4487,1,4
110310011,2025,3850,1,4
110310011,2025,10,1,8
110310011,2025,2702,2,4
110310011,2025,2407,1,5
110310011,2025,622,1,4
110310011,2025,3236,1,4
110310011,2025,12958,1,4
110310011,2025,3485,1,4
110310029,2025,7568,1,4
110310029,2025,3513,1,4
110310029,2025,115,1,4
110310029,2025,3464,1,4
110310029,2025,397,1,5
110310029,2025,648,1,5
110310029,2025,7714,1,5
110310029,2025,508,1,5
110310029,2025,98,1,4
110310029,2025,383,1,4
110310029,2025,1580,1,4
110310029,2025,1837,1,4
110310029,2025,5091,1,4
110310029,2025,10,2,8
110310029,2025,3396,1,4
110310029,2025,4435,1,4
110310029,2025,629,1,4
110310029,2025,3580,1,4
110310029,2025,1490,1,4
110310029,2025,2326,1,0
110310038,2025,3089,1,4
110310038,2025,2284,1,4
110310038,2025,2101,1,4
110310038,2025,5880,1,4
110310038,2025,3896,1,0
110310038,2025,537,1,4
110310038,2025,6018,1,4
110310038,2025,700,1,4
110310038,2025,258,1,4
110310038,2025,3898,1,4
110310038,2025,3894,1,4
110310038,2025,1507,1,4
110310038,2025,6411,1,4
110310038,2025,462,1,4
110310038,2025,10292,1,4
110310038,2025,5450,1,4
110310038,2025,4434,1,4
110310038,2025,2687,1,4
110310038,2025,10,2,8
110310038,2025,342,1,4
110310038,2025,4695,1,4
110310038,2025,4469,1,4
110310038,2025,2204,1,4
110310038,2025,1987,1,4
110310038,2025,6955,1,4
110310047,2025,1104,1,4
110310047,2025,404,1,4
110310047,2025,629,1,4
110310047,2025,667,1,4
110310047,2025,4892,1,0
110310047,2025,3809,1,4
110310047,2025,1791,1,4
110310047,2025,3581,1,4
110310047,2025,2734,1,4
110310047,2025,1600,1,4
110310047,2025,10,4,8
110310047,2025,2101,1,4
110310047,2025,8451,1,2
110310047,2025,8370,1,4
110310047,2025,5076,1,4
110310047,2025,3489,1,4
110310047,2025,9322,1,4
110310047,2025,7568,1,4
110310047,2025,3244,1,4
110310047,2025,256,1,4
110310047,2025,415,1,4
110310047,2025,9263,1,4
110310047,2025,5970,1,4
110310047,2025,1944,1,4
110310047,2025,5986,1,4
110310047,2025,4156,1,4
110310047,2025,10051,1,4
110310047,2025,7666,1,5
110310047,2025,170,1,5
110310047,2025,2675,1,5
110310047,2025,5436,1,5
110310047,2025,5385,1,2
110310047,2025,2178,1,4
110310047,2025,4150,1,4
110310047,2025,5348,1,4
110310047,2025,3056,1,4
110310047,2025,3632,1,4
110310047,2025,7968,1,4
110310047,2025,1510,1,4
110310047,2025,3972,1,4
110310047,2025,214,1,4
110310047,2025,2359,1,4
110310047,2025,9275,1,4
110310047,2025,894,1,4
110310047,2025,6743,1,4
110310047,2025,2064,1,4
110310047,2025,3236,1,4
110310047,2025,5548,1,4
110310047,2025,3852,1,4
110310065,2025,5607,1,4
110310065,2025,5532,1,4
110310065,2025,4842,1,4
110310065,2025,6955,1,4
110310065,2025,2600,1,4
110310065,2025,3582,1,0
110310065,2025,3977,1,4
110310065,2025,3543,1,2
110310065,2025,2647,1,6
110310065,2025,7078,1,4
110310065,2025,10,2,8
110310065,2025,5747,1,4
110310065,2025,596,1,4
110310065,2025,3576,1,4
110310065,2025,2376,1,4
110310065,2025,8534,1,4
110310065,2025,3896,1,0
110310065,2025,3885,1,4
110310065,2025,5993,1,4
110310065,2025,6170,1,5
110310065,2025,10249,1,5
110310065,2025,4605,1,4
110310065,2025,2267,1,5
110310065,2025,10025,1,5
110310065,2025,8568,1,5
110310065,2025,72,1,5
110310065,2025,608,1,5
110310065,2025,2217,1,5
110310065,2025,584,1,1
110310065,2025,382,1,4
110310065,2025,6390,1,4
110310065,2025,530,1,4
110310065,2025,5711,1,4
110310065,2025,6476,1,4
110310065,2025,8216,1,4
110310065,2025,2314,1,4
110310065,2025,656,1,4
110310065,2025,2827,1,4
110310065,2025,214,1,4
110310065,2025,182,1,4
110310065,2025,8366,1,5
110310065,2025,8050,1,1
110310065,2025,7366,1,4
110310065,2025,5124,1,4
110310065,2025,8203,1,4
110310065,2025,9276,1,4
110310065,2025,4117,1,4
110310065,2025,5175,1,4
110310065,2025,1770,1,4
110310065,2025,1782,1,4
110310065,2025,5128,1,4
110310065,2025,4436,1,4
110310074,2025,4008,1,4
110310074,2025,3708,1,4
110310074,2025,3236,1,4
110310074,2025,3852,1,4
110310074,2025,2576,1,4
110310074,2025,2926,1,4
110310074,2025,404,2,4
110310074,2025,6897,1,4
110310074,2025,4606,1,4
110310074,2025,849,1,4
110310074,2025,2544,1,4
110310074,2025,7813,1,4
110310074,2025,861,1,4
110310074,2025,3892,3,4
110310074,2025,3855,1,4
110310074,2025,1467,1,4
110310074,2025,7522,1,4
110310074,2025,8370,2,4
110310074,2025,10607,1,4
110310074,2025,7537,1,4
110310074,2025,3961,1,4
110310074,2025,10,6,8
110310074,2025,7893,1,4
110310074,2025,5691,1,4
110310074,2025,8220,1,4
110310074,2025,2168,1,4
110310074,2025,284,1,4
110310074,2025,1794,1,4
110310074,2025,2073,1,0
110310074,2025,3601,1,4
110310074,2025,225,1,6
110310074,2025,10516,1,5
110310074,2025,317,1,4
110310074,2025,5511,1,5
110310074,2025,4365,1,5
110310074,2025,1769,1,5
110310074,2025,1114,1,5
110310074,2025,3466,1,4
110310074,2025,5206,1,4
110310074,2025,1013,1,4
110310074,2025,4902,1,4
110310074,2025,2782,1,4
110310074,2025,3972,1,4
110310074,2025,2145,1,4
110310074,2025,2359,1,4
110310074,2025,6626,1,4
110310074,2025,2686,1,4
110310074,2025,2784,1,4
110310074,2025,1504,1,4
110310074,2025,4056,1,4
110310074,2025,2406,1,4
110310074,2025,3396,1,4
110310074,2025,2536,1,4
110310092,2025,2667,1,4
110310092,2025,2499,1,4
110310092,2025,3476,1,4
110310092,2025,3676,1,2
110310092,2025,3557,1,2
110310092,2025,1290,1,4
110310092,2025,3485,1,4
110310092,2025,109,1,4
110310092,2025,110,1,4
110310092,2025,3543,1,2
110310092,2025,3212,1,2
110310092,2025,2151,1,4
110310092,2025,8926,1,4
110310092,2025,8277,1,2
110310092,2025,3244,1,4
110310092,2025,3896,2,0
110310092,2025,4319,1,2
110310092,2025,2605,1,4
110310092,2025,2843,1,7
110310092,2025,769,1,3
110310092,2025,8107,1,5
110310092,2025,165,1,2
110310092,2025,8144,1,7
110310092,2025,7197,1,5
110310092,2025,1085,1,5
110310092,2025,7652,1,5
110310092,2025,8125,1,5
110310092,2025,5383,1,3
110310092,2025,7646,1,5
110310092,2025,3787,1,5
110310092,2025,1769,1,5
110310092,2025,2772,1,4
110310092,2025,10,8,8
110310092,2025,8602,1,4
110310092,2025,5620,1,4
110310092,2025,459,1,4
110310092,2025,530,1,4
110310092,2025,3424,1,2
110310092,2025,1118,1,4
110310092,2025,656,1,4
110310092,2025,5651,1,4
110310092,2025,136,1,4
110310092,2025,4902,1,4
110310092,2025,1620,1,4
110310092,2025,4859,1,4
110310092,2025,6643,1,4
110310092,2025,3225,1,4
110310092,2025,323,1,4
110310092,2025,185,2,4
110310092,2025,4139,1,2
110310092,2025,2406,1,4
110310092,2025,3396,1,4
110310092,2025,1594,1,4
110310108,2025,4013,1,4
110310108,2025,5731,1,4
110310108,2025,3229,1,4
110310108,2025,359,1,5
110310108,2025,8060,1,5
110310108,2025,5422,1,5
110310108,2025,8633,1,3
110310108,2025,1955,1,4
110310108,2025,461,1,4
110310108,2025,1308,1,4
110310108,2025,5067,1,4
110310108,2025,2714,1,4
110310108,2025,1385,1,4
110310108,2025,10,2,8
110310108,2025,2145,1,4
110310108,2025,428,1,4
110310108,2025,4963,1,4
110310108,2025,3809,1,4
110310108,2025,1967,1,4
110310108,2025,3580,1,4
110310126,2025,1102,1,4
110310126,2025,10,1,8
110310126,2025,3396,1,4
110310126,2025,4142,1,4
110310126,2025,9616,1,4
110310126,2025,7673,1,4
110310126,2025,3896,3,0
110310126,2025,8001,1,5
110310126,2025,4065,1,2
110310135,2025,5342,1,2
110310135,2025,3557,1,2
110310135,2025,6955,1,4
110310135,2025,3089,1,4
110310135,2025,3580,1,4
110310135,2025,2647,1,6
110310135,2025,3196,1,4
110310135,2025,7055,1,0
110310135,2025,1645,1,4
110310135,2025,3905,1,4
110310135,2025,2124,1,4
110310135,2025,639,1,4
110310135,2025,2326,1,0
110310135,2025,5691,1,4
110310135,2025,732,1,4
110310135,2025,4001,1,2
110310135,2025,1909,1,4
110310135,2025,327,1,4
110310135,2025,5442,1,4
110310135,2025,4805,1,4
110310135,2025,2892,1,4
110310135,2025,10,6,8
110310135,2025,424,1,5
110310135,2025,9903,1,5
110310135,2025,6209,1,5
110310135,2025,941,1,5
110310135,2025,9044,1,5
110310135,2025,2585,1,5
110310135,2025,4813,1,5
110310135,2025,648,1,5
110310135,2025,2570,1,5
