lise_adi,sehir,lise_id
HACI FATMA ERDEMİR ANADOLU LİSESİ (KIRŞEHİR - MERKEZ),KIRŞEHİR,0
HASAN-SABRİYE GÜMÜŞ ANADOLU LİSESİ (İSTANBUL - SİLİVRİ),İSTANBUL,1
IĞDIR MİLLİ EĞİTİM VAKFI ANADOLU LİSESİ (IĞDIR - MERKEZ),IĞDIR,2
KAYSERİ FEN LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,3
KOCASİNAN AHMET EREN ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,4
MELİKGAZİ MUSTAFA EMİNOĞLU ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,5
NUH MEHMET BALDÖKTÜ ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,6
NURULLAH EREN ANADOLU LİSESİ (BİTLİS - MERKEZ),BİTLİS,7
OSMAN ULUBAŞ KÖŞK ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,8
ÖZEL BEYZA ENDERUN ANADOLU LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),KAHRAMANMARAŞ,9
AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),,10
ÖZEL FENTEK KOLEJİ FEN LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,11
ÖZEL HİSARCIKLIOĞLU FEN LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,12
ÖZEL İDEAL EĞİTİM ANADOLU LİSESİ (KAYSERİ - TALAS),KAYSERİ,13
ÖZEL İSTEM KOLEJİ FEN LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,14
ÖZEL KARAOĞLAN FEN LİSESİ (KAHRAMANMARAŞ - AFŞİN),KAHRAMANMARAŞ,15
ÖZEL KARDELEN FEN LİSESİ (NEVŞEHİR - MERKEZ),NEVŞEHİR,16
ÖZEL KAYSERİ TEKDEN FEN LİSESİ (KAYSERİ - TALAS),KAYSERİ,17
ÖZEL MELİKGAZİ CİHANGİR ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,18
ÖZEL MERSİN ELİT KOLEJİ ANADOLU LİSESİ (MERSİN - YENİŞEHİR),MERSİN,19
ÖZEL NEVŞEHİR SİMYA FEN LİSESİ (NEVŞEHİR - MERKEZ),NEVŞEHİR,20
AFŞİN FEN LİSESİ (KAHRAMANMARAŞ - AFŞİN),KAHRAMANMARAŞ,21
ÖZEL SINAV ANADOLU LİSESİ (ANKARA - ÇANKAYA),ANKARA,22
ÖZEL ÜÇ MART HALİL GÜLEÇ FEN LİSESİ (BURSA - NİLÜFER),BURSA,23
ÖZEL YİRMİ DOKUZ MAYIS FERDA ANADOLU LİSESİ (ANKARA - ETİMESGUT),ANKARA,24
RECEP TAYYİP ERDOĞAN ANADOLU İMAM HATİP LİSESİ (NEVŞEHİR - MERKEZ),NEVŞEHİR,25
SEMA YAZAR ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,26
SİLİFKE ANADOLU LİSESİ (MERSİN - SİLİFKE),MERSİN,27
SÜHA ERLER ANADOLU LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),KAHRAMANMARAŞ,28
SÜMER FEN LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,29
ŞEHİT KÜBRA DOĞANAY FEN LİSESİ (KAYSERİ - YEŞİLHİSAR),KAYSERİ,30
ŞEHİT MEHMET ŞENGÜL FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),ESKİŞEHİR,31
ALİ RIZA ÖZDERİCİ KIZ ANADOLU İMAM HATİP LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,32
ŞEHİT MUSTAFA SEZGİN KIZ ANADOLU İMAM HATİP LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,33
VEFA ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,34
YASEMİN ERMAN BALSU ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),GAZİANTEP,35
ALİ UZUNOĞLU ANADOLU İMAM HATİP LİSESİ (MANİSA - SOMA),MANİSA,36
ATATÜRK ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,37
ERZİNCAN ANADOLU LİSESİ (ERZİNCAN - MERKEZ),ERZİNCAN,38
ESKİŞEHİR ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),ESKİŞEHİR,39
GÜLVEREN ANADOLU LİSESİ (ANTALYA - KEPEZ),ANTALYA,40
BOR ŞEHİT RAMAZAN KONUŞ FEN LİSESİ (NİĞDE - BOR),NİĞDE,41
ÇAYCUMA TİCARET VE SANAYİ ODASI FEN LİSESİ (ZONGULDAK - ÇAYCUMA),ZONGULDAK,42
ÇUKUROVA ELEKTRİK ANADOLU LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),KAHRAMANMARAŞ,43
DEVELİ BORSA İSTANBUL FEN LİSESİ (KAYSERİ - DEVELİ),KAYSERİ,44
DÜZİÇİ FEN LİSESİ (OSMANİYE - DÜZİÇİ),OSMANİYE,45
ELAZIĞ LİSESİ (ELAZIĞ - MERKEZ),ELAZIĞ,46
ERCİYES ANADOLU İMAM HATİP LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,47
ERDOĞAN AKDAĞ FEN LİSESİ (YOZGAT - MERKEZ),YOZGAT,48
EREĞLİ FEN LİSESİ (KONYA - EREĞLİ),KONYA,49
FATMA KEMAL TİMUÇİN ANADOLU LİSESİ (KAYSERİ - TALAS),KAYSERİ,50
15 TEMMUZ ŞEHİTLERİ ANADOLU LİSESİ (AĞRI - MERKEZ),AĞRI,51
FEVZİ ÇAKMAK ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,52
GÜLŞEN BATAR ANADOLU LİSESİ (GAZİANTEP - ŞAHİNBEY),GAZİANTEP,53
HACI AHMET ARISOY ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,54
HASANOĞLAN ATATÜRK FEN LİSESİ (ANKARA - ELMADAĞ),ANKARA,55
HAZIM KULAK ANADOLU LİSESİ (AKSARAY - MERKEZ),AKSARAY,56
İRFAN ATASEVEN ANADOLU LİSESİ (KARAMAN - MERKEZ),KARAMAN,57
KANBER DEMİR ANADOLU LİSESİ (AKSARAY - MERKEZ),AKSARAY,58
KOCASİNAN 75.YIL CUMHURİYET ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,59
ABDULKADİR KONUKOĞLU FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),GAZİANTEP,60
MEVLÜDE-AHMET DOĞANAY FEN LİSESİ (YOZGAT - SORGUN),YOZGAT,61
MUZAFFER BEZİRCİLİOĞLU ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),KAYSERİ,62
NECİP FAZIL KISAKÜREK ANADOLU İMAM HATİP LİSESİ (BURSA - YILDIRIM),BURSA,63
NUH MEHMET KÜÇÜKÇALIK ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),KAYSERİ,64
NURİ NİHAT ASLANOBA ANADOLU LİSESİ (BURSA - YILDIRIM),BURSA,65
