yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2025,taban_2025,tavan_2025,tavan_bs_2025,tbs_2025,yerlesen_2025,has_2025
202210341,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Arapça Mütercim ve Tercümanlık,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,dil,55,"178,81807","395,52739",23.371,136.386,55,True
202210340,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Arapça Mütercim ve Tercümanlık,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,dil,11,"400,98931","487,81013",1.757,21.238,10,True
202210345,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Arapça Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,dil,51,"142,17270","367,49720",35.288,140.615,19,True
202210344,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Arapça Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,dil,10,"373,31406","404,98647",19.718,32.715,9,True
202210347,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Bilgi ve Belge Yönetimi,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,30,"173,67478","299,98548",348.432,1.484.694,22,True
202210346,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Bilgi ve Belge Yönetimi,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,6,"300,13085","304,42892",319.953,347.399,5,True
202210222,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Ekonomi,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,51,"184,33111","331,49855",186.960,1.454.450,45,True
202210213,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Ekonomi,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,10,"345,53642","374,79597",67.522,138.469,9,True
202210073,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Felsefe,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,30,"207,58447","306,32682",308.601,1.286.126,7,True
202210028,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Felsefe,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,6,"316,31345","331,54256",186.795,253.992,4,True
202210339,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Hukuk Fakültesi,Hukuk,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,161,"350,19347","405,55570",24.236,124.839,129,True
202210338,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Hukuk Fakültesi,Hukuk,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,30,"411,49812","426,35662",9.718,19.040,26,True
202210334,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,51,"303,68717","375,68787",22.782,223.831,51,True
202210333,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,10,"385,30627","398,40828",8.645,15.272,9,True
202210258,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Psikoloji,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,64,"308,78287","352,17554",119.248,294.451,64,True
202210249,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Psikoloji,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,12,"368,70916","383,68595",51.877,79.626,12,True
202210336,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Rehberlik ve Psikolojik Danışmanlık,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,51,"311,37329","353,95006",114.531,280.066,22,True
202210335,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Rehberlik ve Psikolojik Danışmanlık,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,10,"360,52602","366,71115",83.845,97.938,9,True
202210161,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,(İngilizce) (%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,51,"250,20385","338,50911",161.457,804.474,51,True
202210152,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,10,"348,66994","371,88633",73.060,129.143,9,True
202210197,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Sosyal Hizmet,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,42,"167,93880","285,59356",453.657,1.490.787,35,True
202210188,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Sosyal Hizmet,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,9,"311,01898","328,08344",200.800,282.055,8,True
202210365,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Sınıf Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,42,"333,15096","359,48004",100.489,180.569,42,True
202210358,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Sınıf Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,9,"366,32576","369,79793",77.380,84.706,8,True
202210082,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Tarih,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,38,"232,59959","359,46760",41.748,825.908,16,True
202210046,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Tarih,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,8,"397,92725","433,82244",1.576,8.855,7,True
202210091,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Türk Dili ve Edebiyatı,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,38,"243,32080","317,26792",156.581,724.030,13,True
202210064,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Edebiyat Fakültesi,Türk Dili ve Edebiyatı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,8,"349,43818","358,11006",43.797,58.898,6,True
202210322,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Türkçe Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,42,"302,36627","365,98481",32.918,231.413,19,True
202210320,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Eğitim Fakültesi,Türkçe Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,9,"358,34332","379,95832",19.130,43.432,8,True
202210351,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Yönetim Bilişim Sistemleri,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,51,"310,26550","379,59689",58.630,286.152,51,True
202210350,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İktisadi ve İdari Bilimler Fakültesi,Yönetim Bilişim Sistemleri,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,10,"382,37937","392,36865",39.346,53.961,9,True
