yop_kodu,year,il,tercih_sayisi
202210341,2025,AĞRI,1
202210341,2025,ANKARA,26
202210341,2025,ANTALYA,3
202210341,2025,BİLECİK,1
202210341,2025,BİTLİS,1
202210341,2025,BOLU,2
202210341,2025,ÇANAKKALE,2
202210341,2025,DİYARBAKIR,2
202210341,2025,ERZURUM,7
202210341,2025,ESKİŞEHİR,8
202210341,2025,GAZİANTEP,4
202210341,2025,ISPARTA,1
202210341,2025,İSTANBUL,268
202210341,2025,KAHRAMANMARAŞ,1
202210341,2025,KARAMAN,2
202210341,2025,KAYSERİ,1
202210341,2025,KIRIKKALE,2
202210341,2025,KOCAELİ,1
202210341,2025,KONYA,16
202210341,2025,MARDİN,1
202210341,2025,MUĞLA,1
202210341,2025,NEVŞEHİR,1
202210341,2025,SAKARYA,3
202210341,2025,SAMSUN,6
202210341,2025,SİVAS,3
202210341,2025,ŞANLIURFA,2
202210341,2025,TEKİRDAĞ,1
202210341,2025,YALOVA,1
202210341,2025,ZONGULDAK,1
202210340,2025,ANKARA,2
202210340,2025,BURSA,1
202210340,2025,ERZURUM,1
202210340,2025,İSTANBUL,33
202210340,2025,KOCAELİ,1
202210340,2025,KONYA,1
202210340,2025,SAMSUN,1
202210340,2025,TRABZON,1
202210345,2025,ADIYAMAN,2
202210345,2025,ANKARA,9
202210345,2025,BARTIN,1
202210345,2025,BİNGÖL,1
202210345,2025,BİTLİS,1
202210345,2025,BOLU,1
202210345,2025,BURSA,1
202210345,2025,ÇANAKKALE,1
202210345,2025,ÇANKIRI,2
202210345,2025,ÇORUM,1
202210345,2025,DİYARBAKIR,1
202210345,2025,DÜZCE,3
202210345,2025,ERZURUM,3
202210345,2025,ESKİŞEHİR,2
202210345,2025,ISPARTA,1
202210345,2025,İSTANBUL,75
202210345,2025,KARS,1
202210345,2025,KASTAMONU,1
202210345,2025,KAYSERİ,1
202210345,2025,KIRIKKALE,4
202210345,2025,KIRŞEHİR,4
202210345,2025,KONYA,9
202210345,2025,KÜTAHYA,1
202210345,2025,MARDİN,1
202210345,2025,SAMSUN,1
202210345,2025,SİVAS,1
202210345,2025,ŞANLIURFA,2
202210345,2025,TOKAT,3
202210345,2025,YALOVA,1
202210345,2025,YOZGAT,5
202210344,2025,ANKARA,2
202210344,2025,BOLU,2
202210344,2025,ÇANAKKALE,1
202210344,2025,DÜZCE,1
202210344,2025,EDİRNE,2
202210344,2025,ESKİŞEHİR,1
202210344,2025,İSTANBUL,63
202210344,2025,KIRKLARELİ,1
202210344,2025,KOCAELİ,1
202210344,2025,SAKARYA,2
202210344,2025,TEKİRDAĞ,1
202210347,2025,ANKARA,5
202210347,2025,ANTALYA,1
202210347,2025,BALIKESİR,1
202210347,2025,BİLECİK,4
202210347,2025,BURDUR,2
202210347,2025,ÇANAKKALE,1
202210347,2025,ÇANKIRI,1
202210347,2025,EDİRNE,1
202210347,2025,ERZURUM,4
202210347,2025,ESKİŞEHİR,12
202210347,2025,İSTANBUL,150
202210347,2025,KASTAMONU,1
202210347,2025,KIRKLARELİ,4
202210347,2025,KÜTAHYA,2
202210347,2025,MERSİN,5
202210347,2025,SAKARYA,2
202210347,2025,TEKİRDAĞ,2
202210347,2025,YALOVA,6
202210347,2025,ZONGULDAK,2
202210346,2025,İSTANBUL,84
202210346,2025,KOCAELİ,4
202210222,2025,ANKARA,6
202210222,2025,ANTALYA,1
202210222,2025,BOLU,5
202210222,2025,BURSA,2
202210222,2025,ÇANAKKALE,4
202210222,2025,DÜZCE,5
202210222,2025,ERZURUM,1
202210222,2025,ESKİŞEHİR,9
202210222,2025,İSTANBUL,317
202210222,2025,KASTAMONU,1
202210222,2025,KIRIKKALE,1
202210222,2025,KIRKLARELİ,1
202210222,2025,KOCAELİ,4
202210222,2025,SAKARYA,6
202210222,2025,TEKİRDAĞ,3
202210222,2025,YALOVA,4
202210213,2025,İSTANBUL,120
202210073,2025,İSTANBUL,16
202210073,2025,SİVAS,1
202210028,2025,İSTANBUL,21
202210339,2025,ADANA,4
202210339,2025,AFYONKARAHİSAR,11
202210339,2025,ANKARA,90
202210339,2025,ANTALYA,18
202210339,2025,AYDIN,3
202210339,2025,BALIKESİR,12
202210339,2025,BARTIN,1
202210339,2025,BOLU,27
202210339,2025,BURSA,24
202210339,2025,ÇANAKKALE,3
202210339,2025,ÇANKIRI,27
202210339,2025,ÇORUM,1
202210339,2025,DENİZLİ,7
202210339,2025,DİYARBAKIR,13
202210339,2025,DÜZCE,3
202210339,2025,ERZİNCAN,38
202210339,2025,ERZURUM,12
202210339,2025,ESKİŞEHİR,18
202210339,2025,GAZİANTEP,21
202210339,2025,ISPARTA,10
202210339,2025,İSTANBUL,974
202210339,2025,İZMİR,30
202210339,2025,KAHRAMANMARAŞ,1
202210339,2025,KARABÜK,3
202210339,2025,KASTAMONU,2
202210339,2025,KAYSERİ,8
202210339,2025,KIBRIS,25
202210339,2025,KIRIKKALE,11
202210339,2025,KIRKLARELİ,24
202210339,2025,KOCAELİ,26
202210339,2025,KONYA,29
202210339,2025,MALATYA,21
202210339,2025,MANİSA,1
202210339,2025,MERSİN,11
202210339,2025,MUĞLA,1
202210339,2025,NEVŞEHİR,2
202210339,2025,RİZE,40
202210339,2025,SAKARYA,32
202210339,2025,SAMSUN,15
202210339,2025,SİVAS,12
202210339,2025,TEKİRDAĞ,20
202210339,2025,TOKAT,12
202210339,2025,TRABZON,36
202210339,2025,YALOVA,33
202210339,2025,YOZGAT,11
202210339,2025,ZONGULDAK,3
202210338,2025,ADANA,1
202210338,2025,AFYONKARAHİSAR,3
202210338,2025,ANKARA,29
202210338,2025,ANTALYA,8
202210338,2025,BALIKESİR,4
202210338,2025,BOLU,2
202210338,2025,BURSA,10
202210338,2025,DENİZLİ,3
202210338,2025,DİYARBAKIR,3
202210338,2025,ERZİNCAN,2
202210338,2025,ERZURUM,2
202210338,2025,ESKİŞEHİR,17
202210338,2025,GAZİANTEP,1
202210338,2025,ISPARTA,2
202210338,2025,İSTANBUL,231
202210338,2025,İZMİR,20
202210338,2025,KAYSERİ,4
202210338,2025,KIRIKKALE,1
202210338,2025,KIRKLARELİ,3
202210338,2025,KOCAELİ,13
202210338,2025,KONYA,12
202210338,2025,MALATYA,1
202210338,2025,RİZE,2
202210338,2025,SAKARYA,7
202210338,2025,SAMSUN,1
202210338,2025,SİVAS,2
202210338,2025,TEKİRDAĞ,3
202210338,2025,TOKAT,1
202210338,2025,TRABZON,2
202210338,2025,YALOVA,4
202210334,2025,ADANA,1
202210334,2025,ADIYAMAN,1
202210334,2025,AFYONKARAHİSAR,2
202210334,2025,AĞRI,2
202210334,2025,AKSARAY,2
202210334,2025,AMASYA,2
202210334,2025,ANKARA,3
202210334,2025,ANTALYA,3
202210334,2025,ARTVİN,6
202210334,2025,AYDIN,3
202210334,2025,BALIKESİR,2
202210334,2025,BARTIN,4
202210334,2025,BAYBURT,4
202210334,2025,BİLECİK,3
202210334,2025,BOLU,2
202210334,2025,BURDUR,3
202210334,2025,BURSA,5
202210334,2025,ÇANAKKALE,4
202210334,2025,ÇORUM,1
202210334,2025,DÜZCE,5
202210334,2025,EDİRNE,2
202210334,2025,ERZİNCAN,1
202210334,2025,ESKİŞEHİR,3
202210334,2025,GAZİANTEP,1
202210334,2025,GİRESUN,1
202210334,2025,GÜMÜŞHANE,2
202210334,2025,HAKKARİ,1
202210334,2025,HATAY,3
202210334,2025,ISPARTA,1
202210334,2025,İSTANBUL,306
202210334,2025,İZMİR,8
202210334,2025,KARABÜK,1
202210334,2025,KARAMAN,1
202210334,2025,KASTAMONU,11
202210334,2025,KIRIKKALE,1
202210334,2025,KIRKLARELİ,2
202210334,2025,KIRŞEHİR,2
202210334,2025,KİLİS,3
202210334,2025,KOCAELİ,6
202210334,2025,KONYA,8
202210334,2025,MALATYA,3
202210334,2025,MANİSA,1
202210334,2025,MERSİN,3
202210334,2025,NEVŞEHİR,1
202210334,2025,NİĞDE,4
202210334,2025,ORDU,4
202210334,2025,OSMANİYE,1
202210334,2025,RİZE,1
