yop_kodu,year,program,tercih_sayisi
202210028,2022,Felsefe,7
202210028,2022,Fizik,3
202210028,2022,Hukuk,1
202210028,2022,İlahiyat,9
202210028,2022,İlahiyat (M.T.O.K.),5
202210028,2022,Psikoloji,8
202210028,2022,Sınıf Öğretmenliği,1
202210028,2023,Felsefe,18
202210028,2023,İletişim,1
202210028,2023,İletişim ve Tasarımı,1
202210028,2023,Reklamcılık,2
202210028,2023,Sanat Tarihi,2
202210028,2023,Sosyoloji,2
202210028,2023,Türk Dili ve Edebiyatı,1
202210028,2024,Bilim Tarihi,2
202210028,2024,Ekonomi,2
202210028,2024,Ekonomi Ve Finans,2
202210028,2024,Felsefe,15
202210028,2024,Film Tasarımı Ve Yönetimi,1
202210028,2024,Halkla İlişkiler Ve Reklamcılık,1
202210028,2024,İktisat,3
202210028,2024,İlahiyat,1
202210028,2024,İşletme,3
202210028,2024,Kültür Ve İletişim Bilimleri,1
202210028,2024,Okul Öncesi Öğretmenliği,1
202210028,2024,Psikoloji,2
202210028,2024,"Radyo, Televizyon Ve Sinema",1
202210028,2024,Rehberlik Ve Psikolojik Danışmanlık,2
202210028,2024,Siyaset Bilimi Ve Kamu Yönetimi,3
202210028,2024,Siyaset Bilimi Ve Uluslararası İlişkiler,2
202210028,2024,Sosyal Hizmet,2
202210028,2024,Sosyoloji,4
202210028,2024,Tarih,5
202210028,2024,Türk Dili Ve Edebiyatı,3
202210028,2024,Türkçe Öğretmenliği,2
202210028,2024,Uluslararası İlişkiler,2
202210028,2024,Uluslararası Ticaret Ve İşletmecilik,1
202210028,2024,Yeni Medya Ve İletişim,2
202210046,2022,Arapça Mütercim ve Tercümanlık (Fakülte),2
202210046,2022,Arkeoloji ve Sanat Tarihi,1
202210046,2022,Medya ve Görsel Sanatlar,1
202210046,2022,Siyaset Bilimi ve Uluslararası İlişkiler,1
202210046,2022,Tarih,35
202210046,2022,Türk Dili ve Edebiyatı,1
202210046,2022,Türk Dili ve Edebiyatı Öğretmenliği,1
202210046,2022,Yeni Medya ve İletişim,1
202210046,2023,Felsefe,1
202210046,2023,Halkla İlişkiler ve Reklamcılık (Fakülte),2
202210046,2023,İletişim,1
202210046,2023,İngilizce Mütercim ve Tercümanlık (Fakülte),1
202210046,2023,İspanyol Dili ve Edebiyatı,2
202210046,2023,"Radyo, Televizyon ve Sinema",1
202210046,2023,Tarih,18
202210046,2023,Türk Dili ve Edebiyatı,5
202210046,2023,Türkçe Öğretmenliği,2
202210046,2023,Yeni Medya ve İletişim,2
202210046,2023,Yönetim Bilişim Sistemleri (Fakülte),1
202210046,2024,Arapça Mütercim Ve Tercümanlık,1
202210046,2024,Ekonometri,1
202210046,2024,Ekonomi,1
202210046,2024,Fransız Dili Ve Edebiyatı,1
202210046,2024,Gazetecilik,1
202210046,2024,Halkla İlişkiler Ve Tanıtım,1
202210046,2024,İktisat,3
202210046,2024,İlahiyat,4
202210046,2024,İletişim,1
202210046,2024,İngilizce Öğretmenliği,1
202210046,2024,İslami İlimler,2
202210046,2024,İspanyol Dili Ve Edebiyatı,1
202210046,2024,İtalyan Dili Ve Edebiyatı,1
202210046,2024,İç Mimarlık Ve Çevre Tasarımı,1
202210046,2024,İşletme,2
202210046,2024,Japon Dili Ve Edebiyatı,1
202210046,2024,Kore Dili Ve Edebiyatı,1
202210046,2024,Kültür Ve İletişim Bilimleri,1
202210046,2024,Lojistik Yönetimi,2
202210046,2024,Maliye,1
202210046,2024,Protohistorya Ve Ön Asya Arkeolojisi,1
202210046,2024,Psikoloji,4
202210046,2024,"Radyo, Televizyon Ve Sinema",2
202210046,2024,Rehberlik Ve Psikolojik Danışmanlık,8
202210046,2024,Reklamcılık,1
202210046,2024,Rus Dili Ve Edebiyatı,1
202210046,2024,Sanat Tarihi,2
202210046,2024,Sanat Ve Kültür Yönetimi,1
202210046,2024,Siyaset Bilimi Ve Uluslararası İlişkiler,3
202210046,2024,Sosyoloji,1
202210046,2024,Sümeroloji,1
202210046,2024,Tarih,39
202210046,2024,Tarih Öğretmenliği,1
202210046,2024,Yeni Medya Ve İletişim,5
202210046,2024,Yönetim Bilişim Sistemleri,2
202210046,2024,Özel Eğitim Öğretmenliği,3
202210064,2022,Bilgisayar Mühendisliği,1
202210064,2022,Fizik,1
202210064,2022,Moleküler Biyoloji ve Genetik,1
202210064,2022,Okul Öncesi Öğretmenliği,1
202210064,2022,"Radyo, Televizyon ve Sinema",1
202210064,2022,Reklam Tasarımı ve İletişimi,1
202210064,2022,Sanat ve Kültür Yönetimi,1
202210064,2022,Sınıf Öğretmenliği,1
202210064,2022,Tarih,10
202210064,2022,Türk Dili ve Edebiyatı,12
202210064,2022,Türkçe Öğretmenliği,1
202210064,2023,Felsefe,2
202210064,2023,Gastronomi ve Mutfak Sanatları (Fakülte),2
202210064,2023,Gastronomi ve Mutfak Sanatları (Yüksekokul),2
202210064,2023,İlahiyat,3
202210064,2023,İletişim,1
202210064,2023,İletişim ve Tasarımı,1
202210064,2023,Kültür ve İletişim Bilimleri,1
202210064,2023,Tarih,1
202210064,2023,Turizm İşletmeciliği (Fakülte),5
202210064,2023,Türk Dili ve Edebiyatı,33
202210064,2023,Türk Dili ve Edebiyatı Öğretmenliği,1
202210064,2023,Türkçe Öğretmenliği,3
202210064,2024,Antropoloji,1
202210064,2024,Coğrafya,7
202210064,2024,Coğrafya Öğretmenliği,1
202210064,2024,Felsefe,2
202210064,2024,Gastronomi Ve Mutfak Sanatları,2
202210064,2024,Görsel İletişim Tasarımı,1
202210064,2024,Halkla İlişkiler Ve Reklamcılık,3
202210064,2024,Halkla İlişkiler Ve Tanıtım,5
202210064,2024,İktisat,1
202210064,2024,İlahiyat,8
202210064,2024,İngiliz Dili Ve Edebiyatı,1
202210064,2024,İslami İlimler,5
202210064,2024,İşletme,5
202210064,2024,Okul Öncesi Öğretmenliği,2
202210064,2024,"Radyo, Televizyon Ve Sinema",1
202210064,2024,Sağlık Yönetimi,2
202210064,2024,Sosyal Bilgiler Öğretmenliği,4
202210064,2024,Sosyal Hizmet,1
202210064,2024,Sosyoloji,2
202210064,2024,Tarih,3
202210064,2024,Tarih Öğretmenliği,1
202210064,2024,Turizm İşletmeciliği,2
202210064,2024,Türk Dili Ve Edebiyatı,55
202210064,2024,Türk Dili Ve Edebiyatı Öğretmenliği,1
202210064,2024,Türkçe Öğretmenliği,4
202210064,2024,Yeni Medya Ve İletişim,11
202210064,2024,Yerel Yönetimler,1
202210064,2024,Yönetim Bilişim Sistemleri,3
202210073,2022,Alman Dili ve Edebiyatı,2
202210073,2022,Almanca Mütercim ve Tercümanlık (Fakülte),1
202210073,2022,Astronomi ve Uzay Bilimleri,1
202210073,2022,Bankacılık,1
202210073,2022,Bilgi ve Belge Yönetimi,2
202210073,2022,Çizgi Film ve Animasyon,2
202210073,2022,Ekonomi,1
202210073,2022,Ekonomi ve Finans,1
202210073,2022,Felsefe,29
202210073,2022,Felsefe (Açıköğretim),4
202210073,2022,Finans ve Bankacılık (Fakülte),1
202210073,2022,Fransız Dili ve Edebiyatı,1
202210073,2022,Fransızca Mütercim ve Tercümanlık,1
202210073,2022,Gastronomi ve Mutfak Sanatları (Fakülte),8
202210073,2022,Gazetecilik,2
202210073,2022,Görsel İletişim Tasarımı,2
202210073,2022,Halkla İlişkiler ve Tanıtım,1
202210073,2022,Havacılık Yönetimi (Fakülte),1
202210073,2022,İç Mimarlık,3
202210073,2022,İç Mimarlık ve Çevre Tasarımı,2
202210073,2022,İlahiyat,2
202210073,2022,İngiliz Dili ve Edebiyatı,2
