yop_kodu,year,universite,tercih_sayisi,university_type
202210341,2025,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,1,devlet
202210341,2025,AKDENİZ ÜNİVERSİTESİ,3,devlet
202210341,2025,ANADOLU ÜNİVERSİTESİ,6,devlet
202210341,2025,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,6,devlet
202210341,2025,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,2,devlet
202210341,2025,ANKARA ÜNİVERSİTESİ,6,devlet
202210341,2025,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,10,devlet
202210341,2025,ATATÜRK ÜNİVERSİTESİ,7,devlet
202210341,2025,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,1,devlet
202210341,2025,BİTLİS EREN ÜNİVERSİTESİ,1,devlet
202210341,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,2,devlet
202210341,2025,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,2,devlet
202210341,2025,DİCLE ÜNİVERSİTESİ,2,devlet
202210341,2025,ERCİYES ÜNİVERSİTESİ,1,devlet
202210341,2025,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,2,devlet
202210341,2025,GAZİ ÜNİVERSİTESİ,2,devlet
202210341,2025,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,4,devlet
202210341,2025,HARRAN ÜNİVERSİTESİ,2,devlet
202210341,2025,İSTANBUL MEDENİYET ÜNİVERSİTESİ,4,devlet
202210341,2025,İSTANBUL ÜNİVERSİTESİ,49,devlet
202210341,2025,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,2,devlet
202210341,2025,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,1,devlet
202210341,2025,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,2,devlet
202210341,2025,KIRIKKALE ÜNİVERSİTESİ,2,devlet
202210341,2025,KOCAELİ ÜNİVERSİTESİ,1,devlet
202210341,2025,MARDİN ARTUKLU ÜNİVERSİTESİ,1,devlet
202210341,2025,MARMARA ÜNİVERSİTESİ,9,devlet
202210341,2025,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,1,devlet
202210341,2025,NECMETTİN ERBAKAN ÜNİVERSİTESİ,1,devlet
202210341,2025,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,1,devlet
202210341,2025,ONDOKUZ MAYIS ÜNİVERSİTESİ,6,devlet
202210341,2025,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1,devlet
202210341,2025,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,1,devlet
202210341,2025,SAKARYA ÜNİVERSİTESİ,2,devlet
202210341,2025,SELÇUK ÜNİVERSİTESİ,12,devlet
202210341,2025,SİVAS CUMHURİYET ÜNİVERSİTESİ,3,devlet
202210341,2025,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,1,devlet
202210341,2025,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,1,devlet
202210341,2025,YALOVA ÜNİVERSİTESİ,1,devlet
202210341,2025,YILDIZ TEKNİK ÜNİVERSİTESİ,1,devlet
202210341,2025,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,1,devlet
202210341,2025,BİRUNİ ÜNİVERSİTESİ,3,vakif
202210341,2025,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,18,vakif
202210341,2025,FENERBAHÇE ÜNİVERSİTESİ,1,vakif
202210341,2025,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,125,vakif
202210341,2025,İSTANBUL AYDIN ÜNİVERSİTESİ,25,vakif
202210341,2025,İSTANBUL BEYKENT ÜNİVERSİTESİ,1,vakif
202210341,2025,İSTANBUL GELİŞİM ÜNİVERSİTESİ,1,vakif
202210341,2025,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,3,vakif
202210341,2025,İSTANBUL MEDİPOL ÜNİVERSİTESİ,5,vakif
202210341,2025,İSTANBUL OKAN ÜNİVERSİTESİ,2,vakif
202210341,2025,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,13,vakif
202210341,2025,İSTANBUL TOPKAPI ÜNİVERSİTESİ,1,vakif
202210341,2025,KTO KARATAY ÜNİVERSİTESİ,3,vakif
202210341,2025,ÜSKÜDAR ÜNİVERSİTESİ,4,vakif
202210340,2025,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,1,devlet
202210340,2025,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,1,devlet
202210340,2025,ATATÜRK ÜNİVERSİTESİ,1,devlet
202210340,2025,BURSA ULUDAĞ ÜNİVERSİTESİ,1,devlet
202210340,2025,İSTANBUL MEDENİYET ÜNİVERSİTESİ,1,devlet
202210340,2025,İSTANBUL ÜNİVERSİTESİ,6,devlet
202210340,2025,KOCAELİ ÜNİVERSİTESİ,1,devlet
202210340,2025,MARMARA ÜNİVERSİTESİ,1,devlet
202210340,2025,NECMETTİN ERBAKAN ÜNİVERSİTESİ,1,devlet
202210340,2025,ONDOKUZ MAYIS ÜNİVERSİTESİ,1,devlet
202210340,2025,TRABZON ÜNİVERSİTESİ,1,devlet
202210340,2025,BİRUNİ ÜNİVERSİTESİ,1,vakif
202210340,2025,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,2,vakif
202210340,2025,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,18,vakif
202210340,2025,İSTANBUL MEDİPOL ÜNİVERSİTESİ,1,vakif
202210340,2025,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,3,vakif
202210345,2025,ADIYAMAN ÜNİVERSİTESİ,2,devlet
202210345,2025,ANADOLU ÜNİVERSİTESİ,2,devlet
202210345,2025,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,2,devlet
202210345,2025,ANKARA ÜNİVERSİTESİ,3,devlet
202210345,2025,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,2,devlet
202210345,2025,ATATÜRK ÜNİVERSİTESİ,3,devlet
202210345,2025,BARTIN ÜNİVERSİTESİ,1,devlet
202210345,2025,BİNGÖL ÜNİVERSİTESİ,1,devlet
202210345,2025,BİTLİS EREN ÜNİVERSİTESİ,1,devlet
202210345,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,1,devlet
202210345,2025,BURSA ULUDAĞ ÜNİVERSİTESİ,1,devlet
202210345,2025,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,1,devlet
202210345,2025,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,2,devlet
202210345,2025,DİCLE ÜNİVERSİTESİ,1,devlet
202210345,2025,DÜZCE ÜNİVERSİTESİ,3,devlet
202210345,2025,ERCİYES ÜNİVERSİTESİ,1,devlet
202210345,2025,GAZİ ÜNİVERSİTESİ,2,devlet
202210345,2025,HARRAN ÜNİVERSİTESİ,2,devlet
202210345,2025,HİTİT ÜNİVERSİTESİ,1,devlet
202210345,2025,İSTANBUL MEDENİYET ÜNİVERSİTESİ,1,devlet
202210345,2025,İSTANBUL ÜNİVERSİTESİ,5,devlet
202210345,2025,KAFKAS ÜNİVERSİTESİ,1,devlet
202210345,2025,KASTAMONU ÜNİVERSİTESİ,1,devlet
202210345,2025,KIRIKKALE ÜNİVERSİTESİ,4,devlet
202210345,2025,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,4,devlet
202210345,2025,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,1,devlet
202210345,2025,MARDİN ARTUKLU ÜNİVERSİTESİ,1,devlet
202210345,2025,NECMETTİN ERBAKAN ÜNİVERSİTESİ,2,devlet
202210345,2025,ONDOKUZ MAYIS ÜNİVERSİTESİ,1,devlet
202210345,2025,SELÇUK ÜNİVERSİTESİ,5,devlet
202210345,2025,SİVAS CUMHURİYET ÜNİVERSİTESİ,1,devlet
202210345,2025,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,1,devlet
202210345,2025,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,3,devlet
202210345,2025,YALOVA ÜNİVERSİTESİ,1,devlet
202210345,2025,YOZGAT BOZOK ÜNİVERSİTESİ,5,devlet
202210345,2025,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,12,vakif
202210345,2025,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,39,vakif
202210345,2025,İSTANBUL AYDIN ÜNİVERSİTESİ,6,vakif
202210345,2025,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,11,vakif
202210345,2025,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,1,vakif
202210345,2025,KTO KARATAY ÜNİVERSİTESİ,2,vakif
202210344,2025,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,1,devlet
202210344,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,2,devlet
202210344,2025,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,1,devlet
202210344,2025,DÜZCE ÜNİVERSİTESİ,1,devlet
202210344,2025,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,1,devlet
202210344,2025,GAZİ ÜNİVERSİTESİ,1,devlet
202210344,2025,İSTANBUL ÜNİVERSİTESİ,11,devlet
202210344,2025,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,1,devlet
202210344,2025,KIRKLARELİ ÜNİVERSİTESİ,1,devlet
202210344,2025,KOCAELİ ÜNİVERSİTESİ,1,devlet
202210344,2025,MARMARA ÜNİVERSİTESİ,4,devlet
202210344,2025,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1,devlet
202210344,2025,SAKARYA ÜNİVERSİTESİ,2,devlet
202210344,2025,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,1,devlet
202210344,2025,TRAKYA ÜNİVERSİTESİ,2,devlet
202210344,2025,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,3,vakif
202210344,2025,BİRUNİ ÜNİVERSİTESİ,3,vakif
202210344,2025,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,4,vakif
202210344,2025,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,19,vakif
202210344,2025,İSTANBUL AREL ÜNİVERSİTESİ,1,vakif
202210344,2025,İSTANBUL AYDIN ÜNİVERSİTESİ,2,vakif
202210344,2025,İSTANBUL MEDİPOL ÜNİVERSİTESİ,3,vakif
202210344,2025,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,3,vakif
202210344,2025,İSTANBUL TOPKAPI ÜNİVERSİTESİ,1,vakif
202210344,2025,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,4,vakif
202210344,2025,İSTİNYE ÜNİVERSİTESİ,2,vakif
202210344,2025,ÜSKÜDAR ÜNİVERSİTESİ,1,vakif
202210347,2025,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,2,devlet
202210347,2025,BAHÇEŞEHİR ÜNİVERSİTESİ,1,devlet
202210347,2025,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,5,devlet
202210347,2025,BİRUNİ ÜNİVERSİTESİ,2,devlet
202210347,2025,DOĞUŞ ÜNİVERSİTESİ,7,devlet
202210347,2025,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,5,devlet
202210347,2025,FENERBAHÇE ÜNİVERSİTESİ,1,devlet
202210347,2025,HALİÇ ÜNİVERSİTESİ,4,devlet
202210347,2025,IŞIK ÜNİVERSİTESİ,1,devlet
202210347,2025,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,51,devlet
202210347,2025,İSTANBUL AREL ÜNİVERSİTESİ,1,devlet
202210347,2025,İSTANBUL ATLAS ÜNİVERSİTESİ,1,devlet
202210347,2025,İSTANBUL AYDIN ÜNİVERSİTESİ,5,devlet
202210347,2025,İSTANBUL BEYKENT ÜNİVERSİTESİ,1,devlet
202210347,2025,İSTANBUL GEDİK ÜNİVERSİTESİ,3,devlet
202210347,2025,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,2,devlet
202210347,2025,İSTANBUL MEDİPOL ÜNİVERSİTESİ,4,devlet
202210347,2025,İSTANBUL TOPKAPI ÜNİVERSİTESİ,3,devlet
202210347,2025,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,6,devlet
202210347,2025,KADİR HAS ÜNİVERSİTESİ,1,devlet
202210347,2025,MALTEPE ÜNİVERSİTESİ,1,devlet
202210347,2025,ÜSKÜDAR ÜNİVERSİTESİ,6,devlet
202210347,2025,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,1,vakif
202210347,2025,ANADOLU ÜNİVERSİTESİ,12,vakif
202210347,2025,ANKARA ÜNİVERSİTESİ,3,vakif
202210347,2025,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,1,vakif
202210347,2025,ATATÜRK ÜNİVERSİTESİ,4,vakif
202210347,2025,BALIKESİR ÜNİVERSİTESİ,1,vakif
202210347,2025,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,4,vakif
202210347,2025,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,2,vakif
202210347,2025,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,1,vakif
202210347,2025,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,1,vakif
202210347,2025,HACETTEPE ÜNİVERSİTESİ,1,vakif
202210347,2025,İSTANBUL MEDENİYET ÜNİVERSİTESİ,11,vakif
202210347,2025,İSTANBUL ÜNİVERSİTESİ,13,vakif
202210347,2025,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,1,vakif
202210347,2025,KASTAMONU ÜNİVERSİTESİ,1,vakif
202210347,2025,KIRKLARELİ ÜNİVERSİTESİ,4,vakif
202210347,2025,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,2,vakif
202210347,2025,MARMARA ÜNİVERSİTESİ,11,vakif
202210347,2025,MERSİN ÜNİVERSİTESİ,2,vakif
202210347,2025,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1,vakif
202210347,2025,SAKARYA ÜNİVERSİTESİ,2,vakif
202210347,2025,TARSUS ÜNİVERSİTESİ,3,vakif
202210347,2025,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,2,vakif
202210347,2025,TRAKYA ÜNİVERSİTESİ,1,vakif
202210347,2025,YALOVA ÜNİVERSİTESİ,6,vakif
202210347,2025,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,2,vakif
202210346,2025,ALTINBAŞ ÜNİVERSİTESİ,3,devlet
202210346,2025,BİRUNİ ÜNİVERSİTESİ,2,devlet
202210346,2025,DEMİROĞLU BİLİM ÜNİVERSİTESİ,1,devlet
202210346,2025,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,2,devlet
202210346,2025,HALİÇ ÜNİVERSİTESİ,1,devlet
202210346,2025,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,7,devlet
202210346,2025,İSTANBUL ATLAS ÜNİVERSİTESİ,2,devlet
202210346,2025,İSTANBUL AYDIN ÜNİVERSİTESİ,2,devlet
202210346,2025,İSTANBUL BİLGİ ÜNİVERSİTESİ,1,devlet
202210346,2025,İSTANBUL GALATA ÜNİVERSİTESİ,3,devlet
202210346,2025,İSTANBUL GELİŞİM ÜNİVERSİTESİ,1,devlet
202210346,2025,İSTANBUL KENT ÜNİVERSİTESİ,3,devlet
202210346,2025,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,2,devlet
202210346,2025,İSTANBUL MEDİPOL ÜNİVERSİTESİ,7,devlet
202210346,2025,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,1,devlet
202210346,2025,İSTANBUL OKAN ÜNİVERSİTESİ,2,devlet
202210346,2025,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,1,devlet
202210346,2025,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,2,devlet
202210346,2025,İSTANBUL TOPKAPI ÜNİVERSİTESİ,1,devlet
202210346,2025,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,1,devlet
202210346,2025,İSTİNYE ÜNİVERSİTESİ,4,devlet
202210346,2025,MEF ÜNİVERSİTESİ,1,devlet
202210346,2025,ÜSKÜDAR ÜNİVERSİTESİ,2,devlet
202210346,2025,GEBZE TEKNİK ÜNİVERSİTESİ,1,vakif
202210346,2025,İSTANBUL MEDENİYET ÜNİVERSİTESİ,4,vakif
202210346,2025,İSTANBUL ÜNİVERSİTESİ,8,vakif
202210346,2025,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,7,vakif
202210346,2025,KOCAELİ ÜNİVERSİTESİ,3,vakif
202210346,2025,MARMARA ÜNİVERSİTESİ,8,vakif
202210346,2025,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,4,vakif
202210346,2025,YILDIZ TEKNİK ÜNİVERSİTESİ,1,vakif
202210222,2025,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,1,devlet
202210222,2025,ALANYA ÜNİVERSİTESİ,1,devlet
202210222,2025,ANKARA BİLİM ÜNİVERSİTESİ,1,devlet
202210222,2025,BAHÇEŞEHİR ÜNİVERSİTESİ,1,devlet
202210222,2025,BEYKOZ ÜNİVERSİTESİ,2,devlet
202210222,2025,BİRUNİ ÜNİVERSİTESİ,1,devlet
202210222,2025,DOĞUŞ ÜNİVERSİTESİ,14,devlet
202210222,2025,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,11,devlet
202210222,2025,FENERBAHÇE ÜNİVERSİTESİ,5,devlet
202210222,2025,HALİÇ ÜNİVERSİTESİ,3,devlet
202210222,2025,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,101,devlet
202210222,2025,İSTANBUL AREL ÜNİVERSİTESİ,3,devlet
202210222,2025,İSTANBUL ATLAS ÜNİVERSİTESİ,2,devlet
202210222,2025,İSTANBUL AYDIN ÜNİVERSİTESİ,10,devlet
202210222,2025,İSTANBUL BEYKENT ÜNİVERSİTESİ,8,devlet
202210222,2025,İSTANBUL BİLGİ ÜNİVERSİTESİ,2,devlet
202210222,2025,İSTANBUL GALATA ÜNİVERSİTESİ,1,devlet
202210222,2025,İSTANBUL GEDİK ÜNİVERSİTESİ,4,devlet
202210222,2025,İSTANBUL GELİŞİM ÜNİVERSİTESİ,5,devlet
202210222,2025,İSTANBUL KENT ÜNİVERSİTESİ,4,devlet
202210222,2025,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,3,devlet
202210222,2025,İSTANBUL MEDİPOL ÜNİVERSİTESİ,4,devlet
202210222,2025,İSTANBUL OKAN ÜNİVERSİTESİ,4,devlet
202210222,2025,İSTANBUL RUMELİ ÜNİVERSİTESİ,1,devlet
202210222,2025,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,10,devlet
202210222,2025,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,1,devlet
202210222,2025,İSTANBUL TİCARET ÜNİVERSİTESİ,13,devlet
202210222,2025,İSTANBUL TOPKAPI ÜNİVERSİTESİ,18,devlet
202210222,2025,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,11,devlet
202210222,2025,İSTİNYE ÜNİVERSİTESİ,1,devlet
202210222,2025,KOÇ ÜNİVERSİTESİ,1,devlet
202210222,2025,MALTEPE ÜNİVERSİTESİ,1,devlet
202210222,2025,MEF ÜNİVERSİTESİ,1,devlet
202210222,2025,OSTİM TEKNİK ÜNİVERSİTESİ,3,devlet
202210222,2025,ÖZYEĞİN ÜNİVERSİTESİ,4,devlet
202210222,2025,PİRİ REİS ÜNİVERSİTESİ,2,devlet
202210222,2025,ÜSKÜDAR ÜNİVERSİTESİ,10,devlet
202210222,2025,ANADOLU ÜNİVERSİTESİ,9,vakif
202210222,2025,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,1,vakif
202210222,2025,ATATÜRK ÜNİVERSİTESİ,1,vakif
202210222,2025,BOĞAZİÇİ ÜNİVERSİTESİ,1,vakif
202210222,2025,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,5,vakif
202210222,2025,BURSA TEKNİK ÜNİVERSİTESİ,1,vakif
202210222,2025,BURSA ULUDAĞ ÜNİVERSİTESİ,1,vakif
202210222,2025,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,4,vakif
202210222,2025,DÜZCE ÜNİVERSİTESİ,5,vakif
202210222,2025,GEBZE TEKNİK ÜNİVERSİTESİ,2,vakif
202210222,2025,İSTANBUL MEDENİYET ÜNİVERSİTESİ,11,vakif
202210222,2025,İSTANBUL TEKNİK ÜNİVERSİTESİ,1,vakif
202210222,2025,İSTANBUL ÜNİVERSİTESİ,13,vakif
202210222,2025,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,6,vakif
202210222,2025,KASTAMONU ÜNİVERSİTESİ,1,vakif
202210222,2025,KIRIKKALE ÜNİVERSİTESİ,1,vakif
202210222,2025,KIRKLARELİ ÜNİVERSİTESİ,1,vakif
202210222,2025,KOCAELİ ÜNİVERSİTESİ,2,vakif
202210222,2025,MARMARA ÜNİVERSİTESİ,18,vakif
202210222,2025,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,1,vakif
202210222,2025,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,2,vakif
202210222,2025,SAKARYA ÜNİVERSİTESİ,6,vakif
202210222,2025,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,3,vakif
202210222,2025,TÜRK-ALMAN ÜNİVERSİTESİ,1,vakif
202210222,2025,YALOVA ÜNİVERSİTESİ,4,vakif
202210222,2025,YILDIZ TEKNİK ÜNİVERSİTESİ,1,vakif
202210213,2025,ALTINBAŞ ÜNİVERSİTESİ,2,devlet
202210213,2025,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,2,devlet
202210213,2025,HALİÇ ÜNİVERSİTESİ,5,devlet
202210213,2025,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,22,devlet
202210213,2025,İSTANBUL AYDIN ÜNİVERSİTESİ,1,devlet
202210213,2025,İSTANBUL BEYKENT ÜNİVERSİTESİ,3,devlet
202210213,2025,İSTANBUL KENT ÜNİVERSİTESİ,1,devlet
202210213,2025,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,2,devlet
202210213,2025,İSTANBUL MEDİPOL ÜNİVERSİTESİ,6,devlet
202210213,2025,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,5,devlet
202210213,2025,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,1,devlet
202210213,2025,İSTANBUL TİCARET ÜNİVERSİTESİ,4,devlet
202210213,2025,İSTANBUL TOPKAPI ÜNİVERSİTESİ,3,devlet
202210213,2025,İSTİNYE ÜNİVERSİTESİ,2,devlet
202210213,2025,KADİR HAS ÜNİVERSİTESİ,1,devlet
202210213,2025,KOÇ ÜNİVERSİTESİ,1,devlet
202210213,2025,MEF ÜNİVERSİTESİ,1,devlet
202210213,2025,İSTANBUL MEDENİYET ÜNİVERSİTESİ,6,vakif
202210213,2025,İSTANBUL TEKNİK ÜNİVERSİTESİ,1,vakif
202210213,2025,İSTANBUL ÜNİVERSİTESİ,24,vakif
202210213,2025,MARMARA ÜNİVERSİTESİ,24,vakif
202210213,2025,YILDIZ TEKNİK ÜNİVERSİTESİ,3,vakif
202210073,2025,FENERBAHÇE ÜNİVERSİTESİ,1,devlet
202210073,2025,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,12,devlet
202210073,2025,MALTEPE ÜNİVERSİTESİ,1,devlet
202210073,2025,İSTANBUL MEDENİYET ÜNİVERSİTESİ,1,vakif
202210073,2025,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,1,vakif
202210073,2025,SİVAS CUMHURİYET ÜNİVERSİTESİ,1,vakif
202210028,2025,DOĞUŞ ÜNİVERSİTESİ,4,devlet
202210028,2025,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,11,devlet
202210028,2025,ÜSKÜDAR ÜNİVERSİTESİ,2,devlet
202210028,2025,İSTANBUL MEDENİYET ÜNİVERSİTESİ,3,vakif
202210028,2025,MARMARA ÜNİVERSİTESİ,1,vakif
202210339,2025,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,1,devlet
202210339,2025,ALTINBAŞ ÜNİVERSİTESİ,15,devlet
202210339,2025,ANKARA BİLİM ÜNİVERSİTESİ,10,devlet
202210339,2025,ANKARA MEDİPOL ÜNİVERSİTESİ,2,devlet
202210339,2025,ANTALYA BİLİM ÜNİVERSİTESİ,7,devlet
202210339,2025,ATILIM ÜNİVERSİTESİ,11,devlet
202210339,2025,BAHÇEŞEHİR ÜNİVERSİTESİ,7,devlet
202210339,2025,BAŞKENT ÜNİVERSİTESİ,6,devlet
202210339,2025,BEYKOZ ÜNİVERSİTESİ,2,devlet
202210339,2025,ÇAĞ ÜNİVERSİTESİ,9,devlet
202210339,2025,ÇANKAYA ÜNİVERSİTESİ,9,devlet
202210339,2025,DOĞUŞ ÜNİVERSİTESİ,63,devlet
202210339,2025,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,74,devlet
202210339,2025,FENERBAHÇE ÜNİVERSİTESİ,6,devlet
202210339,2025,HALİÇ ÜNİVERSİTESİ,5,devlet
202210339,2025,HASAN KALYONCU ÜNİVERSİTESİ,11,devlet
202210339,2025,IŞIK ÜNİVERSİTESİ,4,devlet
