Title,Element Name,Data Value
Chief Executives,Realistic,1.3
Chief Executives,Investigative,3.24
Chief Executives,Artistic,2.08
Chief Executives,Social,3.52
Chief Executives,Enterprising,6.88
Chief Executives,Conventional,5
Chief Sustainability Officers,Realistic,2.04
Chief Sustainability Officers,Investigative,4.78
Chief Sustainability Officers,Artistic,2.48
Chief Sustainability Officers,Social,3.55
Chief Sustainability Officers,Enterprising,6.68
Chief Sustainability Officers,Conventional,4.49
General and Operations Managers,Realistic,2.22
General and Operations Managers,Investigative,2.39
General and Operations Managers,Artistic,1.31
General and Operations Managers,Social,3.37
General and Operations Managers,Enterprising,6.96
General and Operations Managers,Conventional,5.32
Legislators,Realistic,1.54
Legislators,Investigative,3.35
Legislators,Artistic,2.7
Legislators,Social,3.69
Legislators,Enterprising,5.52
Legislators,Conventional,3.62
Advertising and Promotions Managers,Realistic,1.07
Advertising and Promotions Managers,Investigative,1.71
Advertising and Promotions Managers,Artistic,3.85
Advertising and Promotions Managers,Social,3.14
Advertising and Promotions Managers,Enterprising,7
Advertising and Promotions Managers,Conventional,4.3
Marketing Managers,Realistic,1
Marketing Managers,Investigative,2.9
Marketing Managers,Artistic,2.45
Marketing Managers,Social,2.82
Marketing Managers,Enterprising,7
Marketing Managers,Conventional,4.7
Sales Managers,Realistic,1.49
Sales Managers,Investigative,1.66
Sales Managers,Artistic,1.31
Sales Managers,Social,3.29
Sales Managers,Enterprising,7
Sales Managers,Conventional,5.58
Public Relations Managers,Realistic,1
Public Relations Managers,Investigative,2.35
Public Relations Managers,Artistic,3.68
Public Relations Managers,Social,4.14
Public Relations Managers,Enterprising,7
Public Relations Managers,Conventional,4.39
Fundraising Managers,Realistic,1
Fundraising Managers,Investigative,2.41
Fundraising Managers,Artistic,2.67
Fundraising Managers,Social,3.75
Fundraising Managers,Enterprising,7
Fundraising Managers,Conventional,4.72
Administrative Services Managers,Realistic,1.59
Administrative Services Managers,Investigative,2.03
Administrative Services Managers,Artistic,1.01
Administrative Services Managers,Social,3.71
Administrative Services Managers,Enterprising,6.51
Administrative Services Managers,Conventional,6.43
Facilities Managers,Realistic,3.93
Facilities Managers,Investigative,2.52
Facilities Managers,Artistic,1.64
Facilities Managers,Social,3.59
Facilities Managers,Enterprising,5.54
Facilities Managers,Conventional,5.41
Security Managers,Realistic,3.4
Security Managers,Investigative,3.71
Security Managers,Artistic,1.29
Security Managers,Social,2.75
Security Managers,Enterprising,5.6
Security Managers,Conventional,5.39
Computer and Information Systems Managers,Realistic,2.56
Computer and Information Systems Managers,Investigative,4.42
